municipio,region,year,total_population,policy_package,predicted_target,policy_intensity,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Arroyo,South,2024,15341.0,retention_bundle,-1.6116935580138785,0.9917324116466271,-2.0295442787536384,0.41785072073975993,64.10247906868658
Barceloneta,North,2024,22494.0,retention_bundle,-0.5768414593165703,1.0715910781498228,-1.0283393624654158,0.4514979031488455,101.55993833430132
Barranquitas,Central Mountains,2024,29054.0,retention_bundle,-0.28825670194954656,0.9295990340344814,-0.6799285095950736,0.391671807645527,113.7963269933314
Bayamon,Metro,2024,182469.0,retention_bundle,-0.9695303671330662,0.8694763244837546,-1.3358704247787252,0.366340057645659,668.4570397854576
Cabo Rojo,West,2024,46876.0,retention_bundle,-0.6114914996424943,0.8718430380928748,-0.9788287345264305,0.3673372348839362,172.19300222419395
Caguas,East,2024,125586.0,retention_bundle,-0.898468179404792,0.9013793563638225,-1.278250073485681,0.379781894080889,476.9528895004253
Camuy,North,2024,32734.0,retention_bundle,-0.5522090841454921,0.8737838088554233,-0.9203640320056288,0.3681549478601367,120.51184063253714
Canovanas,East,2024,41816.0,retention_bundle,-0.8778036246866915,0.8826249420520188,-1.2496836437807302,0.37188001909403867,155.5053487843632
Carolina,Metro,2024,152204.0,retention_bundle,-1.0671914360072237,0.8321416063451857,-1.4178011023703043,0.35060966636308066,533.6419365912633
Catano,Metro,2024,22467.0,retention_bundle,-1.5499297263360696,0.9804955371355968,-1.9630459682404542,0.41311624190438456,92.81482606865808
Cayey,Central Mountains,2024,40917.0,retention_bundle,-1.0972766266665979,0.8643452010003049,-1.4614547668226348,0.3641781401560369,149.0107696076456
Ceiba,East,2024,10995.0,retention_bundle,-1.521319572664645,0.8592640116630332,-1.8833568342914937,0.3620372616268488,39.80599691587202
Ciales,Central Mountains,2024,16805.0,retention_bundle,-0.7760980226797984,0.9527617239939974,-1.1775290623320578,0.40143103965225935,67.46048621356218
Cidra,Central Mountains,2024,39643.0,retention_bundle,-0.725506999259695,0.8377840662295374,-1.0784940265940748,0.3529870273343798,139.9346472461682
Coamo,South,2024,33998.0,retention_bundle,-1.1737556243571556,0.8856274540899509,-1.5469007042723855,0.3731450799152298,126.86186426957984
Comerio,Central Mountains,2024,18711.0,retention_bundle,-0.6285499215318506,1.1330818021224114,-1.1059559658577043,0.47740604432585365,89.32744495381048
Corozal,Central Mountains,2024,34444.0,retention_bundle,-0.5387823088785273,0.9317382722491577,-0.9313554506131083,0.392573141734581,135.21789293905908
Culebra,East,2024,1387.0,retention_bundle,1.9700421845394718,1.137574625942277,1.4907431601625067,0.47929902437696503,6.647877468108506
Dorado,North,2024,35810.0,retention_bundle,-0.458882952812807,0.8999960599694294,-0.838082016899833,0.37919906408702597,135.79118484956402
Fajardo,East,2024,31489.0,retention_bundle,-1.159336174171228,0.918795868384511,-1.5464562393304762,0.38712006515924813,121.90023731799565
Florida,North,2024,11532.0,retention_bundle,-0.7773441050166323,0.980691509228347,-1.1905429166537786,0.41319881163714633,47.65008695799572
Guanica,West,2024,12855.0,retention_bundle,-2.8835976502734004,1.2881426417771593,-3.4263361198052333,0.5427384695318329,69.76903025831713
Guayama,South,2024,35298.0,retention_bundle,-1.7646804553622764,0.9144983163985845,-2.1499898151602332,0.3853093597979569,136.0064978214828
Guayanilla,South,2024,17141.0,retention_bundle,-1.6247486183571926,1.1552024627563755,-2.1114748521621767,0.48672623380498403,83.42974373651232
Guaynabo,Metro,2024,89378.0,retention_bundle,-0.6772439340245306,0.7273810513599778,-0.9837144022615913,0.3064704682370607,273.91717510092013
Gurabo,East,2024,40228.0,retention_bundle,-0.8085371189272459,0.810060881491896,-1.1498434221189198,0.3413063031916739,137.30069964794657
Hatillo,North,2024,38157.0,retention_bundle,-0.709253625609007,0.8628687784674625,-1.0728096985499167,0.36355607294090975,138.7220907520629
Hormigueros,West,2024,15441.0,retention_bundle,-0.8570388408891284,0.8107201230986244,-1.1986229050748753,0.34158406418574694,52.74399535092118
Humacao,East,2024,50100.0,retention_bundle,-1.0046709995028074,0.9223413431282504,-1.3932848942068388,0.3886138947040314,194.69556124671973
Isabela,West,2024,42890.0,retention_bundle,-0.4932326317532689,0.8058040105535279,-0.8327453698977545,0.33951273814448557,145.61701339016986
Jayuya,Central Mountains,2024,14566.0,retention_bundle,-0.9650914786747424,0.9261522299378404,-1.3553110300875235,0.3902195514127811,56.83937985878569
Juana Diaz,South,2024,46156.0,retention_bundle,-0.6691061624209698,0.9471207702356821,-1.0681604756842442,0.39905431326327445,184.18750882979694
Juncos,East,2024,36829.0,retention_bundle,-0.6347493709025116,0.8189614323025808,-0.9798057799972995,0.34505640909478785,127.08082490551942
Lajas,West,2024,23035.0,retention_bundle,-0.780235825895583,1.0314383418890982,-1.2148160105256196,0.43458018463003656,100.10554552952892
Lares,Central Mountains,2024,27855.0,retention_bundle,-0.6715510235591873,1.1186664673575029,-1.142883395238585,0.4713323716793978,131.28963213129626
