municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Canóvanas,East,2030,33756.22354595539,34103.8025964644,34763.74608838495,35359.351867452875,35989.565672699864,36641.03156296402,36890.30938088411,hurricane_cat5_maria_like,37406.306091140366,-2046.9542236874913,-5.472216953740615
Carolina,Metro,2030,130178.54094816044,131253.24984922397,132739.70698716142,134993.04111127218,137681.97335623752,139736.9319310494,140533.65095128462,hurricane_cat5_maria_like,139877.07162691333,-4884.030515641149,-3.491659110985726
Cataño,Metro,2030,19623.04746600694,19679.965595368398,19949.4408412137,20162.990423106323,20332.688200968514,20551.090310134114,20691.845537396966,hurricane_cat5_maria_like,20869.600394337598,-706.6099712312753,-3.3858337384504726
Cayey,Central Mountains,2030,35740.895761727086,35982.71816256789,36331.75244965645,36838.65244410307,37154.53081654106,37498.96750015993,37773.788826262135,hurricane_cat5_maria_like,38154.4958045137,-1315.8433604106322,-3.448724279184334
Ceiba,East,2030,9028.557303941874,9111.871792673232,9239.08300522952,9408.575586866278,9540.141283673414,9702.402154802567,9801.620001517347,hurricane_cat5_maria_like,9931.245295576173,-522.6697087098946,-5.262881875878299
Ciales,Central Mountains,2030,14472.121014784454,14583.695215403206,14812.78067076709,15120.13038150654,15471.567601261202,15734.8959321828,15906.25144597507,hurricane_cat5_maria_like,15684.813351991106,-564.6829704845659,-3.6001892901893044
Cidra,Central Mountains,2030,34258.77041435751,34567.30031250972,35051.03761089011,35568.79837643083,36167.31670463105,36593.234758463404,36794.65773649219,hurricane_cat5_maria_like,36871.24925926882,-1302.4508828379912,-3.532429491823027
Coamo,South,2030,27695.568682262005,28043.02162876172,28704.803383052636,29533.98598660655,30297.19132186275,30968.23369086442,31435.953609348602,hurricane_cat5_maria_like,31124.8626291133,-1590.8766425067515,-5.111272815767197
Comerío,Central Mountains,2030,16398.211438904327,16498.821515909527,16637.2192129049,16836.39212181185,17027.546684713532,17158.254400777434,17279.072491238312,hurricane_cat5_maria_like,17456.067134665805,-619.675012853957,-3.5499119479401604
Corozal,Central Mountains,2030,29532.70362999183,29803.16908273738,30343.583816581442,31012.924630750516,31539.129825909753,31979.415841517777,32208.509600120924,hurricane_cat5_maria_like,32097.265682716767,-1084.3410519662502,-3.3782972751792038
Culebra,East,2030,988.6502123749492,1015.3939242676432,1057.6223070198944,1118.0028717663313,1180.3095081127176,1226.8017651733808,1269.0216317054694,hurricane_cat5_maria_like,1174.336303768819,-56.333432002487825,-4.797044238664504
Dorado,North,2030,31322.6481990079,31641.099458940986,31992.538861424575,32338.28069606662,32666.131832729723,32995.10553507183,33148.635670168034,hurricane_cat5_maria_like,33370.71762534043,-1032.436929273812,-3.0938409562095224
Fajardo,East,2030,24932.00670343088,25215.030630794085,25759.5834335644,26682.767584180612,27421.405630604757,27974.58723822354,28550.41452186514,hurricane_cat5_maria_like,28201.875605754627,-1519.1080215740149,-5.386549613969785
Florida,North,2030,10095.469018527085,10167.573620316745,10262.118560247422,10427.019578440224,10534.051040199643,10646.010667380755,10716.227137938291,hurricane_cat5_maria_like,10739.186843439846,-312.1672649996217,-2.9068054178637612
Guayama,South,2030,28803.03166431827,28993.152726223714,29779.42924856205,30401.055976354502,30964.096868424684,31630.58984815788,32056.958285814362,hurricane_cat5_maria_like,32009.807738982196,-1608.751762627693,-5.02580888878168
Guayanilla,South,2030,14626.933502532467,14717.423806357103,14906.247097996555,15083.151525597223,15258.07346846072,15478.456887059847,15596.036207301968,hurricane_cat5_maria_like,15821.717686873475,-738.5661612762524,-4.66805296297889
Guaynabo,Metro,2030,75386.35599653117,76537.50676757134,78128.15265661542,79509.46836969024,81007.89987019138,82918.20037322173,83994.3550783574,hurricane_cat5_maria_like,82310.13768677108,-2800.669317080843,-3.4025812564409885
Gurabo,East,2030,30828.91256763066,31400.230215986237,32614.136007490313,33698.20825344045,35086.88963979023,36112.649732672755,37142.29058569504,hurricane_cat5_maria_like,35790.0332448611,-2091.8249914206535,-5.844713742256743
Guánica,West,2030,10162.09784681519,10296.77188477621,10524.32785399791,10781.732445930622,11036.29518359619,11264.986964456066,11446.537913248365,hurricane_cat5_maria_like,11292.231028463433,-510.49858253281127,-4.520794706077461
