scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_5,Mayagüez,West,66168.20884025928,66843.64402029655,-675.4351800372679,-1.0104703146228493
earthquake_m6_5,Arecibo,North,80131.38538458715,80780.55067571937,-649.1652911322162,-0.8036158279462425
earthquake_m6_5,Juana Díaz,South,41814.43913352543,42411.152503143814,-596.713369618381,-1.4069727757908685
earthquake_m6_5,Toa Baja,Metro,67586.0853476253,68133.91665316725,-547.8313055419567,-0.8040508053142874
earthquake_m6_5,Toa Alta,Metro,60740.47789224475,61285.884998354086,-545.4071061093346,-0.8899391860360378
earthquake_m6_5,Trujillo Alto,Metro,61234.494290659364,61768.33622351152,-533.8419328521559,-0.8642647114865206
earthquake_m6_5,Coamo,South,30661.79997224769,31124.8626291133,-463.06265686561164,-1.487758074255647
earthquake_m6_5,Humacao,East,44699.23751805574,45150.927065703785,-451.6895476480422,-1.0003992763885934
earthquake_m6_5,Guayama,South,31566.62007025958,32009.807738982196,-443.18766872261403,-1.384537115425692
earthquake_m6_5,Cabo Rojo,West,43324.72216617328,43755.86582754467,-431.14366137139586,-0.9853391156071867
earthquake_m6_5,Vega Baja,North,49610.03769577477,50039.66651522549,-429.6288194507142,-0.8585765041419526
earthquake_m6_5,Gurabo,East,35361.80498796295,35790.0332448611,-428.22825689815363,-1.1965014225284092
earthquake_m6_5,San Sebastián,West,36015.59839460011,36437.452483790126,-421.8540891900193,-1.1577485812919794
earthquake_m6_5,Isabela,West,39358.683831484,39780.04632661537,-421.36249513136863,-1.0592307803559557
earthquake_m6_5,Aguadilla,West,50057.59259968589,50460.53383745808,-402.9412377721892,-0.7985274968951599
earthquake_m6_5,Río Grande,East,40890.29307694148,41292.22932638556,-401.9362494440793,-0.9733944037437662
earthquake_m6_5,Yauco,South,30012.309876663392,30406.56143876256,-394.25156209916895,-1.2966002844260236
earthquake_m6_5,Canóvanas,East,37022.16792055476,37406.306091140366,-384.1381705856038,-1.0269342544801194
