region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Metro,2030,885326.6489056731,891703.0284891552,898702.7870733393,906842.9617202166,917095.6101129152,924179.4651748076,930443.4208134175,hurricane_cat2,914050.0061197367,-7207.044399520149,-0.7884737543096801
North,2030,345407.7468558249,346457.8441512709,348823.342190678,350520.6783592021,352777.6297846327,354557.00373480574,355987.55574800324,hurricane_cat2,352760.8671887701,-2240.188829567982,-0.6350445976109951
South,2030,369999.7238909134,371469.3057881327,373361.27213820413,376095.60374466935,379233.2266536871,381802.29658826423,383234.874743459,hurricane_cat2,380131.98752100463,-4036.3837763352785,-1.0618374430045152
West,2030,446876.99996956054,448343.47430268757,449812.42474391725,452265.02013022464,454680.1423323813,456915.1369024465,458733.3153807633,hurricane_cat2,455520.22752818116,-3255.2073979565175,-0.7146131392716543
Central Mountains,2030,358731.0892523576,359663.2072252042,361608.45631954493,363430.02413878054,365211.6585783303,366624.78899799386,367857.02309648716,hurricane_cat3,368299.85835839866,-4869.834219618118,-1.3222471062910923
East,2030,492067.81347138673,493506.0687887257,495906.4043846417,498516.1771527364,500888.06885059597,503118.487363765,504924.20361288136,hurricane_cat3,509146.07241677435,-10629.895264037943,-2.087788915581887
Metro,2030,879929.2475224276,886264.880544543,892989.1881921001,901024.7791590824,911421.7288191884,918155.6918942961,924382.4788116976,hurricane_cat3,914050.0061197367,-13025.226960654254,-1.4250015725012757
North,2030,343516.8531713166,344720.5176489893,347109.27897945174,348706.85903830425,350952.42224463815,352551.45548437804,354136.03565806727,hurricane_cat3,352760.8671887701,-4054.0081504658447,-1.1492227532983288
South,2030,367021.7525750464,368394.276378041,370359.29475900944,373062.35735817335,376132.59564896085,378631.4228637772,380157.21083755797,hurricane_cat3,380131.98752100463,-7069.630162831279,-1.859783021401386
West,2030,444311.95748632133,445615.50724811247,447154.4682422712,449793.00251825666,451980.71276073396,454286.4360565784,455733.01558837376,hurricane_cat3,455520.22752818116,-5727.225009924499,-1.257293236131908
Central Mountains,2030,355302.1453641079,356472.7566451616,358260.03332339687,360074.04450420593,361852.2605927496,363555.80005106924,364303.337451939,hurricane_cat4,368299.85835839866,-8225.813854192733,-2.2334556116467623
East,2030,485359.78498380113,486731.7837696738,489154.8973790009,491811.02518538665,494018.94392295566,496267.24392606656,497977.15969618486,hurricane_cat4,509146.07241677435,-17335.047231387696,-3.404729638609027
Metro,2030,871793.8402800268,876992.9277545622,884844.3665570174,892700.0608917971,901481.6435409549,909665.6046564867,915698.4577562233,hurricane_cat4,914050.0061197367,-21349.945227939636,-2.335752429844947
North,2030,340466.7620973249,341592.8327840651,344060.2534932905,345630.8211009023,347975.8713905591,349657.41572516033,351142.1330610738,hurricane_cat4,352760.8671887701,-7130.046087867813,-2.021212314361493
South,2030,362270.7006030855,363836.5215209227,365695.2503993968,368452.8329800796,371678.78036981315,374067.43297546083,375510.27368742216,hurricane_cat4,380131.98752100463,-11679.154540925054,-3.072394569341447
West,2030,440826.5288517706,441810.13568099047,443405.94987631805,446167.82774049323,448231.72201291943,450702.93498751835,451649.0293927748,hurricane_cat4,455520.22752818116,-9352.39978768793,-2.053125025520263
Central Mountains,2030,350816.4521156247,351708.25537161453,353626.31926097476,355398.7408754546,357146.62513854733,358669.2960561031,360013.5771034035,hurricane_cat5_maria_like,368299.85835839866,-12901.117482944042,-3.5028841825917163
East,2030,475868.9208718453,477149.214815692,479492.06137137103,482303.49528989184,484644.7737149362,486796.17785052187,488302.96010870056,hurricane_cat5_maria_like,509146.07241677435,-26842.577126882505,-5.272077814421366
