region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Metro,2030,762305.1182371685,774658.6145757494,793252.8372261326,813148.345437581,835278.158954693,856418.761961989,867434.1523864885,earthquake_m7_2,872654.0384943262,-59505.69305674522,-6.818932868220734
North,2030,301988.524164626,304622.74101895565,309188.75781088637,313789.76186794473,318869.7148573844,323357.0326352876,325698.8834043983,earthquake_m7_2,335487.2392543479,-21697.47738640319,-6.467452364098223
South,2030,322148.9944878447,325099.33261271205,329135.3124619492,335938.7364735162,340567.93938521005,347081.0718743586,351050.5453052609,earthquake_m7_2,368745.11508925306,-32806.378615736845,-8.896762905671634
West,2030,385191.9630798666,388286.5122817618,392345.56921835715,397214.80475021683,402535.19829053426,408338.3766951874,412780.7046127106,earthquake_m7_2,432700.03338873613,-35485.2286385193,-8.200884192361386
Central Mountains,2030,313648.42002131,315652.35617440275,319999.68187038077,324566.7711675677,328586.2503268983,332694.67900981737,334455.6550477259,earthquake_m7_5,350925.69941587886,-26358.92824831116,-7.511256169663834
East,2030,457293.8137122463,459093.6889965643,463152.32616596174,469735.4483140182,475604.83078742615,480089.46220090904,482805.8492807873,earthquake_m7_5,504089.95392130024,-34354.505607282044,-6.815153791508719
Metro,2030,762305.1182371685,774658.6145757494,793252.8372261326,813148.345437581,835278.158954693,856418.761961989,867434.1523864885,earthquake_m7_5,872654.0384943262,-59505.69305674522,-6.818932868220734
North,2030,301988.524164626,304622.74101895565,309188.75781088637,313789.76186794473,318869.7148573844,323357.0326352876,325698.8834043983,earthquake_m7_5,335487.2392543479,-21697.47738640319,-6.467452364098223
South,2030,322148.9944878447,325099.33261271205,329135.3124619492,335938.7364735162,340567.93938521005,347081.0718743586,351050.5453052609,earthquake_m7_5,368745.11508925306,-32806.378615736845,-8.896762905671634
West,2030,385191.9630798666,388286.5122817618,392345.56921835715,397214.80475021683,402535.19829053426,408338.3766951874,412780.7046127106,earthquake_m7_5,432700.03338873613,-35485.2286385193,-8.200884192361386
