year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,unemployment_rate_pct,labor_force_participation_pct,median_income_nominal,median_income_real,cpi,total_housing_units,pct_no_vehicle,pct_below_poverty,pct_no_hs_diploma,pct_aged_65_plus,pct_aged_17_under,pct_disability,pct_single_parent,pct_lim_english,pct_multi_unit,pct_mobile_homes,pct_crowding,pct_group_quarters
2012,Juana Díaz Municipio,72075,50695.0,0.0,38852.0,135.0,18.6,43.5,16938.0,23754.62,229.59,18242.0,42.7,53.0,18.4,52.8,68.2,20.8,3.74,11.2,1.3,0.2,1.9,1.0
2012,Juncos Municipio,72077,40292.0,0.0,30846.0,180.0,18.4,46.9,18946.0,26570.73,229.59,14903.0,41.4,44.6,24.0,53.1,69.3,17.9,3.57,14.6,3.0,0.0,0.4,0.66
2012,Lajas Municipio,72079,25671.0,0.0,20585.0,105.0,12.4,28.1,13698.0,19210.7,229.59,11719.0,46.6,61.1,34.1,52.2,72.3,17.8,2.12,7.6,1.7999999999999998,1.0,1.3,0.11
2012,Lares Municipio,72081,30628.0,0.0,24204.0,95.0,25.5,38.0,12094.0,16961.18,229.59,11944.0,49.6,60.9,27.3,51.3,71.3,21.5,5.69,8.6,1.0,0.2,0.9,0.7
2012,Las Marías Municipio,72083,9853.0,0.0,7736.0,55.0,6.0,40.1,14460.0,20279.36,229.59,3929.0,38.8,59.1,40.2,50.8,70.2,7.9,4.88,5.7,1.4,0.2,1.7,0.69
2012,Las Piedras Municipio,72085,38687.0,0.0,30316.0,129.0,18.5,45.2,19345.0,27130.31,229.59,14065.0,45.3,47.9,24.8,52.7,70.2,18.9,2.77,11.5,0.7,0.2,0.6,0.24
2012,Loíza Municipio,72087,29997.0,0.0,22944.0,130.0,24.5,52.6,19100.0,26786.71,229.59,11351.0,45.6,45.2,11.6,54.3,67.9,17.3,3.85,8.6,3.3,0.5,2.1,0.26
2012,Luquillo Municipio,72089,20050.0,0.0,15664.0,89.0,23.5,51.3,20084.0,28166.72,229.59,10197.0,43.2,43.5,19.5,53.2,70.5,22.9,4.92,18.0,19.0,0.2,1.6,0.5
2012,Manatí Municipio,72091,43974.0,0.0,34176.0,157.0,22.6,45.0,17513.0,24561.03,229.59,17955.0,45.1,49.0,20.4,53.8,70.5,19.5,2.5,15.1,4.8999999999999995,0.2,2.1,0.84
2012,Maricao Municipio,72093,6546.0,272.0,5141.0,256.0,8.4,40.3,12288.0,17233.25,229.59,2318.0,39.1,59.5,34.6,51.2,71.1,9.3,7.13,4.6,0.4,1.3,0.8,0.38
2012,Maunabo Municipio,72095,12201.0,0.0,9677.0,80.0,26.4,40.0,16043.0,22499.44,229.59,5001.0,46.2,58.1,15.0,51.1,71.9,24.4,5.02,6.9,2.6,0.3,2.4,0.11
2012,Mayagüez Municipio,72097,88664.0,0.0,72978.0,211.0,17.2,38.6,15060.0,21120.83,229.59,39853.0,42.2,51.4,19.2,52.9,72.7,21.4,1.76,19.2,16.1,0.0,0.7,1.78
2012,Moca Municipio,72099,40044.0,0.0,30958.0,148.0,24.4,43.5,14384.0,20172.78,229.59,15081.0,42.0,54.5,20.1,51.6,69.9,18.5,3.78,11.3,1.6,0.0,0.6,0.6
2012,Morovis Municipio,72101,32617.0,0.0,24648.0,109.0,26.4,40.1,14596.0,20470.1,229.59,10662.0,44.9,57.8,23.8,50.9,67.0,30.0,5.79,9.9,2.2,0.0,0.8,0.17
2012,Naguabo Municipio,72103,26761.0,0.0,20607.0,86.0,17.9,44.5,16706.0,23429.26,229.59,10400.0,39.6,53.0,39.3,52.9,68.7,13.8,4.01,16.8,3.8000000000000003,0.0,0.6,0.37
2012,Naranjito Municipio,72105,30385.0,0.0,23905.0,115.0,8.5,33.3,16007.0,22448.95,229.59,9873.0,56.7,52.0,10.3,50.9,70.2,23.6,3.87,8.6,0.8,0.0,0.8,0.29
2012,Orocovis Municipio,72107,23386.0,0.0,18013.0,100.0,29.0,42.1,14296.0,20049.36,229.59,8253.0,43.1,59.9,19.3,50.3,66.9,30.7,5.76,7.7,1.5,0.0,0.8,0.65
2012,Patillas Municipio,72109,19225.0,0.0,15176.0,110.0,29.5,41.1,14777.0,20723.94,229.59,8229.0,43.7,54.9,14.7,51.5,71.3,27.8,2.46,10.7,0.5,0.1,0.5,0.04
2012,Peñuelas Municipio,72111,24193.0,0.0,18309.0,117.0,24.4,44.5,15541.0,21795.41,229.59,8587.0,39.7,59.8,27.4,51.6,67.2,19.8,4.39,9.5,0.2,0.1,1.8,0.07
2012,Ponce Municipio,72113,165602.0,0.0,130391.0,237.0,22.3,47.3,17459.0,24485.3,229.59,66003.0,43.3,49.7,20.3,52.9,70.7,21.2,3.49,15.4,11.4,0.1,1.0,2.2
2012,Quebradillas Municipio,72115,25874.0,0.0,20226.0,115.0,17.3,34.9,14255.0,19991.86,229.59,9592.0,42.5,58.9,25.4,51.9,70.6,29.1,2.77,16.8,3.4000000000000004,0.2,1.1,0.26
2012,Rincón Municipio,72117,15182.0,0.0,12228.0,70.0,24.3,46.0,16548.0,23207.67,229.59,8445.0,47.7,49.9,43.8,52.3,73.6,34.3,2.01,24.0,9.7,0.5,0.7,0.16
