actual_prediction,counterfactual_prediction_no_disaster_features,delta_prediction
-0.5726573854519601,-0.5726573854519601,0.0
-1.4557283634186753,-1.4557283634186753,0.0
-1.5304701726356866,-1.5304701726356866,0.0
-1.0640541544214832,-1.0640541544214832,0.0
1.1369208734368053,1.1369208734368053,0.0
-0.9229299694423945,-0.9229299694423945,0.0
-1.6136292062829831,-1.6136292062829831,0.0
-1.2406703575189748,-1.2406703575189748,0.0
-0.58204041011388,-0.58204041011388,0.0
-1.4971575980258665,-1.4971575980258665,0.0
-3.0184921645138427,-3.0184921645138427,0.0
-1.877091139065096,-1.877091139065096,0.0
-1.2256041236691855,-1.2256041236691855,0.0
-1.8794729174208047,-1.8794729174208047,0.0
