scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat5_maria_like,Juana Díaz,South,40247.337854460355,42400.00791388366,-2152.6700594233043,-5.077051079319313
hurricane_cat5_maria_like,Gurabo,East,33696.50872177825,35780.004366873814,-2083.495645095565,-5.823072640607409
hurricane_cat5_maria_like,Canóvanas,East,35337.54883629203,37369.04736800298,-2031.498531710953,-5.436313405865442
hurricane_cat5_maria_like,San Lorenzo,East,31684.514777526565,33496.94457585037,-1812.4297983238066,-5.410731698885988
hurricane_cat5_maria_like,Juncos,East,31153.754252998002,32918.6609916224,-1764.906738624395,-5.361417158108447
hurricane_cat5_maria_like,Las Piedras,East,29496.578098355272,31198.371167160032,-1701.79306880476,-5.454749735768572
hurricane_cat5_maria_like,Vega Baja,North,48244.6738557295,49885.26592075094,-1640.5920650214393,-3.288730719863712
hurricane_cat5_maria_like,Aguadilla,West,48729.2901498008,50353.559995488686,-1624.2698456878861,-3.225729910324928
hurricane_cat5_maria_like,Coamo,South,29514.876536199707,31107.907002258602,-1593.0304660588954,-5.120982475430548
hurricane_cat5_maria_like,Guayama,South,30427.68762224667,32013.530089397987,-1585.8424671513167,-4.9536632252764425
hurricane_cat5_maria_like,Fajardo,East,26597.22543552846,28138.509392496737,-1541.2839569682765,-5.4774897115881584
hurricane_cat5_maria_like,Cabo Rojo,West,42172.327485451955,43713.014085487615,-1540.6866000356604,-3.524548998205906
hurricane_cat5_maria_like,Yauco,South,28933.599342136113,30387.66431078514,-1454.0649686490287,-4.785050123556072
hurricane_cat5_maria_like,Yabucoa,East,24920.734102231276,26358.465341298423,-1437.7312390671468,-5.454533184883531
hurricane_cat5_maria_like,Cayey,Central Mountains,36741.09743350319,38090.46173021385,-1349.364296710657,-3.5425254392238665
hurricane_cat5_maria_like,San Sebastián,West,35078.55040239258,36400.003665518205,-1321.4532631256225,-3.630365741906333
hurricane_cat5_maria_like,Cidra,Central Mountains,35487.64626079176,36806.26881161335,-1318.622550821594,-3.5826031635283107
hurricane_cat5_maria_like,Isabela,West,38418.65002322644,39732.63219319399,-1313.9821699675522,-3.3070604624896487
hurricane_cat5_maria_like,Manatí,North,35111.84976592251,36366.04527654721,-1254.195510624697,-3.448809187491
hurricane_cat5_maria_like,Aguada,West,33827.78633183881,35027.66433438162,-1199.878002542806,-3.425515304384878
hurricane_cat5_maria_like,Hatillo,North,34469.38384408443,35633.853799640674,-1164.4699555562474,-3.2678754369475183
hurricane_cat5_maria_like,Corozal,Central Mountains,30925.5268465042,32063.87806465641,-1138.3512181522092,-3.5502605637931204
hurricane_cat5_maria_like,Naguabo,East,19597.92950141084,20726.763292884396,-1128.8337914735566,-5.4462617994054625
hurricane_cat5_maria_like,Loíza,East,19291.927219706304,20409.75482053809,-1117.827600831788,-5.476928119229201
hurricane_cat5_maria_like,Moca,West,33534.46384813727,34620.348555556455,-1085.8847074191872,-3.136550476020283
hurricane_cat5_maria_like,Salinas,South,21822.794384564833,22894.06764114357,-1071.2732565787373,-4.679261341280927
hurricane_cat5_maria_like,Dorado,North,32251.77793015042,33318.49198903461,-1066.7140588841867,-3.2015676436834273
hurricane_cat5_maria_like,San Germán,West,28367.257372963853,29415.147182065637,-1047.8898091017836,-3.5624156582180224
hurricane_cat5_maria_like,Lares,Central Mountains,25019.701047510083,26009.43141476871,-989.7303672586277,-3.805274907688438
hurricane_cat5_maria_like,Vega Alta,North,31578.692934724015,32563.298626085714,-984.6056913616994,-3.0236669284264535
hurricane_cat5_maria_like,Camuy,North,29483.03616972707,30445.606141029875,-962.5699713028043,-3.1616055428293857
hurricane_cat5_maria_like,Villalba,South,18812.66057019477,19750.83868037527,-938.1781101804991,-4.750067201514268
hurricane_cat5_maria_like,Naranjito,Central Mountains,26150.478409186202,27085.49973741303,-935.0213282268269,-3.452110307329083
hurricane_cat5_maria_like,Barranquitas,Central Mountains,26143.11784161604,27064.374415862494,-921.256574246454,-3.403945570995734
hurricane_cat5_maria_like,Peñuelas,South,17336.38405537448,18238.229503599166,-901.8454482246852,-4.94480809141432
hurricane_cat5_maria_like,Morovis,Central Mountains,25666.612893852885,26564.542813439253,-897.9299195863678,-3.38018209420151
hurricane_cat5_maria_like,Utuado,Central Mountains,25067.543785989154,25947.139012428008,-879.5952264388543,-3.3899507225731167
hurricane_cat5_maria_like,Santa Isabel,South,17304.622968377535,18165.33097350825,-860.7080051307166,-4.738190602670253
hurricane_cat5_maria_like,Aibonito,Central Mountains,21975.949831114405,22836.25584072363,-860.3060096092231,-3.76728135999882
