region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Metro,2030,899327.4480927361,903684.269922647,908446.1368834098,913883.0647872444,920123.4400885088,926271.080162047,929791.2560763772,earthquake_m6_5,921805.4782085718,-7922.413421327365,-0.8594452526712805
North,2030,345589.9257575123,346119.81356205296,347945.28566692537,348997.113140921,350747.3600197589,351716.38912051695,352616.5591960854,earthquake_m6_5,351939.0608739915,-2941.9477330705267,-0.8359253234820285
South,2030,373086.68663847854,373882.60846613033,375095.18268705835,376716.67966024065,378515.09260317474,379761.1879790511,380971.8011078143,earthquake_m6_5,381348.17132198333,-4631.491661742679,-1.2145047518353447
West,2030,446111.1504466758,446718.7193440932,447944.9231220172,449580.45337565854,451153.33566656103,452808.14858222514,453896.37345124636,earthquake_m6_5,454340.50356000906,-4760.050184350519,-1.0476834328114912
Central Mountains,2030,358885.3441462392,359715.276470934,360743.8265145657,361937.12714813545,363091.6605768008,364134.915509025,364916.1339208866,earthquake_m6_8,366731.7182364984,-4794.5910883629695,-1.3073838040022019
East,2030,498501.07213603903,499495.7389450327,501226.2711911071,503128.7092533776,504949.91349245555,506528.6782423126,507502.9272374517,earthquake_m6_8,511319.66344207566,-8190.954188698088,-1.6019243487642623
Metro,2030,895154.6327429723,899820.8292610036,904861.6873127635,910487.1373907658,916757.3354571353,922714.9865435889,926741.1732232654,earthquake_m6_8,921805.4782085718,-11318.340817805962,-1.2278448203412633
North,2030,344398.9639079466,344892.8214782423,346703.4169961944,347805.37831894716,349474.31429490185,350576.4801310803,351428.61621946876,earthquake_m6_8,351939.0608739915,-4133.682555044361,-1.1745449751382917
South,2030,371161.28317420965,371835.14240934374,373067.1338726721,374703.28874998254,376461.2175682609,377844.23527151265,378877.9501198039,earthquake_m6_8,381348.17132198333,-6644.882572000788,-1.7424713350441954
West,2030,443964.326446412,444683.5765834715,445923.7124920193,447724.41744174005,449332.9643565003,450660.08663336775,452048.834134798,earthquake_m6_8,454340.50356000906,-6616.086118269013,-1.4561955331801413
Central Mountains,2030,357396.3881043808,358228.6738401651,359273.16057747,360421.39486243355,361656.83905525255,362669.6806018276,363381.08610058867,earthquake_m7_2,366731.7182364984,-6310.323374064872,-1.7206920100637335
East,2030,496204.1873465495,497313.13750703173,498891.0331312561,500752.0829724071,502584.47628316825,504175.20570220606,505200.6054950903,earthquake_m7_2,511319.66344207566,-10567.580469668552,-2.0667267905423885
Metro,2030,891791.9616853113,895716.7890562676,901572.0264727154,907584.5963081953,913354.1365602553,919070.3431788196,922942.5311748958,earthquake_m7_2,921805.4782085718,-14220.881900376524,-1.5427204802485286
North,2030,343226.17371353443,343766.229338509,345492.2949677954,346671.5857805434,348256.4807549232,349482.590209521,350268.9080278771,earthquake_m7_2,351939.0608739915,-5267.475093448127,-1.4967009005386012
South,2030,369073.66008189693,369726.11017799843,370920.81080797035,372627.97703212476,374362.8702729349,375803.9057105619,376802.2813455674,earthquake_m7_2,381348.17132198333,-8720.19428985857,-2.286675260465811
West,2030,441806.32403391734,442750.3743299975,443962.22777749563,445768.5647831948,447288.9103324597,448836.9991676076,450212.93719886243,earthquake_m7_2,454340.50356000906,-8571.938776814262,-1.8866772188806373
Central Mountains,2030,357396.3881043808,358228.67384016514,359273.16057747,360421.39486243355,361656.83905525255,362669.6806018276,363381.08610058867,earthquake_m7_5,366731.7182364984,-6310.323374064872,-1.7206920100637335
