year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe,poverty_rate_pct,unemployment_rate_pct.1,per_capita_income,no_hs_diploma_pct,under_18_pct,over_65_pct,disability_pct,single_parent_pct,minority_pct,limited_english_pct,multi_unit_housing_pct,mobile_homes_pct,crowding_pct,no_vehicle_pct,group_quarters_count,pct_group_quarters,lat,lon,max_wind_knots,max_seismic_mag,target_pop_change,vulnerability_index
2013,Carolina,72031,173994,0,140106,258,75100,445,14.5,0,54.7,0,28674,40199.67,848,232.95,117814,81.0,29534,1066.104122,28.1,33154,1186,246.0,1991.0,89.8,0.6,30.02,14.47,14605,19.13,22.4,17.09,19.9,16.22,99.14,30.64,13.19,0.07,4.89,14.84,682,0.39,18.3808,-65.9574,0.0,0.0,-1.2278819462184343,-2.061693711060354
2014,Carolina,72031,171310,0,138896,223,76382,456,14.4,0,54.5,0,28660,39541.27,976,236.72,116777,82.0,29949,1172.676,28.7,33545,1194,211.0,1966.0,90.5,0.8,30.07,14.42,14937,18.06,21.84,17.83,21.19,16.49,99.21,30.55,13.97,0.1,4.59,14.17,668,0.39,18.3808,-65.9574,0.0,0.0,-1.542581928112463,-2.25180636498142
2015,Carolina,72031,168114,0,137045,265,77446,445,14.5,0,54.7,0,27969,38541.23,809,237.0,115341,82.3,29437,1047.763809,29.6,34084,1265,270.0,1942.0,8.7,0.6,30.46,14.46,15185,17.77,21.34,18.54,22.62,16.21,99.18,31.33,14.6,0.22,3.79,14.61,704,0.42,18.3808,-65.9574,0.0,0.0,-1.8656237230751271,-2.231364038047799
2016,Carolina,72031,165040,0,135415,278,77771,401,14.2,0,54.8,0,28611,38932.49,806,240.01,114314,83.0,29518,1114.009425,30.1,34461,1236,255.0,1901.0,8.3,0.7,29.9,14.25,15403,17.06,20.69,19.35,22.71,15.98,99.14,0.0,14.86,0.22,3.57,13.55,716,0.43,18.3808,-65.9574,0.0,0.0,-1.8285211225715914,-2.455505059867388
2017,Carolina,72031,161684,0,133656,229,77499,475,14.1,0,54.4,0,29082,38747.53,821,245.12,113117,83.3,28939,1200.361612,31.0,35045,1421,296.0,1890.0,8.1,0.7,29.03,14.06,16188,16.83,20.1,20.12,22.89,15.32,99.22,0.0,13.98,0.25,3.01,13.72,750,0.46,18.3808,-65.9574,150.0,0.0,-2.0334464372273375,-2.518883451876202
2018,Carolina,72031,157453,0,131031,242,77423,520,14.8,0,54.0,0,29434,38282.8,1311,251.1,111481,84.1,29057,1148.947344,31.5,35076,1407,298.0,1874.0,8.1,0.7,29.47,14.77,16536,16.04,19.38,20.91,22.52,14.74,99.28,0.0,13.68,0.28,2.92,13.52,740,0.47,18.3808,-65.9574,0.0,0.0,-2.6168328344177483,-2.530456350185082
2019,Carolina,72031,153779,0,128919,238,77009,422,14.8,0,53.3,0,29059,37121.94,1122,255.65,110311,84.6,28785,1089.412686,31.8,35089,1419,308.0,1926.0,8.3,0.7,30.9,14.77,16846,15.53,18.59,21.72,21.93,14.46,99.3,0.0,13.49,0.34,2.48,12.98,735,0.48,18.3808,-65.9574,75.0,4.1,-2.333394727315452,-2.5245421730246767
2020,Carolina,72031,150378,0,127081,221,76457,543,14.3,0,53.1,0,29398,37090.29,1066,258.86,109118,86.0,28390,1183.05748,33.2,36184,1520,268.0,1943.0,8.3,0.7,30.5,14.31,16992,14.06,17.91,22.42,20.9,14.16,99.14,0.0,12.81,0.24,2.91,11.66,740,0.49,18.3808,-65.9574,45.0,0.0,-2.2116153701090546,-2.808301282768998
2021,Carolina,72031,155886,0,132865,263,75941,553,14.0,0,52.5,0,30678,36974.35,1084,270.97,114495,87.0,30012,1489.785555,33.6,38519,1597,337.0,1981.0,8.1,0.8,29.8,14.01,17865,13.06,17.19,22.9,20.26,12.99,99.26,0.0,12.45,0.25,2.87,11.51,692,0.44,18.3808,-65.9574,0.0,0.0,3.6627698200534686,-2.945438949648019
2022,Carolina,72031,154126,0,132256,276,76551,1180,13.3,0,52.5,0,32888,36704.91,1148,292.63,114434,87.7,30676,1268.13012,34.1,38979,1493,342.0,2009.0,7.8,0.7,30.95,13.33,19220,12.37,16.53,23.65,19.26,13.28,99.25,33.02,13.57,0.25,3.2,10.8,650,0.42,18.3808,-65.9574,0.0,0.0,-1.1290301887276644,-3.014402976875806
2023,Carolina,72031,153226,0,132252,275,77274,1095,11.7,0,52.6,0,35126,37648.89,1376,304.7,114772,88.1,30663,1481.772587,34.8,39908,1478,335.0,2038.0,7.2,0.7,29.31,11.73,20747,11.97,16.0,24.22,19.32,12.78,99.21,33.81,13.9,0.16,3.31,9.99,560,0.37,18.3808,-65.9574,0.0,0.0,-0.5839378171106802,-3.3188324768653015
2024,Carolina,72031,152204,0,132335,272,80200,1252,10.4,0,53.5,0,36958,38476.6,1432,313.7,115045,89.0,30817,1432.381234,36.0,41406,1674,353.0,,6.6,0.6,27.87,10.36,22102,11.12,15.48,24.81,19.27,12.82,99.22,35.79,14.3,0.04,3.72,9.56,665,0.44,18.3808,-65.9574,0.0,0.0,-0.6669886311722606,-3.5859845451630936
2011,Cataño,72033,28371,0,21786,117,10561,128,25.3,0,52.7,0,18193,26416.22,2210,224.92,17756,44.2,4524,357.123228,18.8,3331,57,38.94868419,336.0,0.0,0.0,46.92,25.31,10206,36.17,26.19,13.01,0.0,20.95,99.53,18.41,14.07,0.09,5.58,33.01,11,0.0,18.4388,-66.1182,65.0,0.0,-1.0187349544709234,3.3499949969125122
2012,Cataño,72033,28049,0,21686,113,10665,122,27.2,0,53.9,0,17780,25292.19,2039,229.59,17751,66.4,4634,360.5135226,20.0,3546,48,33.0,337.0,0.0,0.0,47.24,27.23,10246,34.2,25.55,13.56,17.95,19.97,99.43,16.83,13.67,0.13,5.09,29.96,10,0.04,18.4388,-66.1182,0.0,0.0,-1.1349617567234183,2.5337903124024264
2013,Cataño,72033,27669,0,21602,120,10778,152,28.8,0,52.9,0,18977,26604.91,1865,232.95,17730,70.2,4979,414.493667,20.5,3641,37,34.0,340.0,91.0,1.3,49.05,28.81,10567,30.41,24.88,14.18,17.01,19.69,99.6,14.72,14.22,0.04,5.92,28.23,8,0.03,18.4388,-66.1182,0.0,0.0,-1.3547720061321211,2.266784313547767
2014,Cataño,72033,27211,0,21451,95,10813,137,30.6,0,53.5,0,18625,25696.31,1788,236.72,17663,72.5,5293,447.6360128,20.7,3661,61,49.0,335.0,91.8,1.3,49.63,30.58,10592,28.05,24.21,14.9,17.75,18.94,99.63,16.66,14.18,0.16,6.5,28.38,10,0.04,18.4388,-66.1182,0.0,0.0,-1.6552820846434613,2.208353919335942
2015,Cataño,72033,26680,0,21179,83,10890,128,30.8,0,53.8,0,18326,25253.2,1671,237.0,17528,73.1,5112,403.9826729,21.0,3681,79,53.0,329.0,7.5,1.3,48.95,30.76,10820,27.52,23.71,15.64,19.3,18.05,99.69,20.27,14.09,0.17,6.19,26.94,7,0.03,18.4388,-66.1182,0.0,0.0,-1.9514167064789922,1.9374590405978247
2016,Cataño,72033,26137,0,20909,89,10849,124,29.7,0,52.7,0,18562,25258.29,1375,240.01,17426,72.8,5074,351.5920932,21.4,3728,161,74.0,323.0,7.1,1.2,49.13,29.68,11039,27.76,22.98,16.49,21.38,17.83,99.55,0.0,13.98,0.31,5.95,26.68,7,0.03,18.4388,-66.1182,0.0,0.0,-2.0352323838080943,1.8330789596005364
2017,Cataño,72033,25595,0,20622,87,10725,163,27.9,0,52.1,0,18663,24865.73,1413,245.12,17339,72.5,4996,401.0012469,19.8,3431,157,71.0,332.0,6.3,1.1,49.42,27.9,11627,28.12,22.19,17.43,22.49,17.15,99.55,0.0,13.91,0.28,6.43,27.53,7,0.03,18.4388,-66.1182,150.0,0.0,-2.073688640624405,1.8565026741750656
2018,Cataño,72033,24888,0,20251,119,10654,149,25.1,0,51.6,0,18253,23740.43,2132,251.1,17123,72.6,5083,430.8468405,19.4,3328,147,76.0,330.0,6.7,1.3,47.38,25.1,12195,28.06,21.35,18.39,22.93,16.4,99.36,0.0,11.49,0.35,5.74,26.52,7,0.03,18.4388,-66.1182,0.0,4.4,-2.762258253565153,1.4623140383483713
2019,Cataño,72033,24271,0,19927,106,10763,127,21.0,0,48.7,0,17448,22289.26,1665,255.65,16966,73.5,5093,404.8826991,20.3,3448,176,73.0,324.0,6.9,1.2,48.6,20.97,12796,27.08,20.45,19.43,22.27,15.59,99.1,0.0,10.65,0.18,4.63,26.25,6,0.02,18.4388,-66.1182,75.0,0.0,-2.479106396657027,1.2472319762961364
2020,Cataño,72033,23698,0,19597,102,10857,171,16.7,0,46.4,0,18647,23526.18,1736,258.86,16801,75.7,5523,435.8279477,20.4,3422,167,86.0,321.0,7.5,1.5,46.75,16.66,12918,24.97,19.65,20.5,21.51,16.36,98.91,0.0,10.31,0.39,4.23,25.6,6,0.03,18.4388,-66.1182,45.0,0.0,-2.360842157307075,0.7015668835873723
2021,Cataño,72033,23536,0,19617,101,10775,185,14.1,0,45.0,0,20089,24212.07,1899,270.97,16870,76.9,5721,463.0172783,20.7,3491,98,67.0,325.0,7.5,1.1,46.08,14.1,13653,23.76,18.86,21.62,19.63,16.57,99.04,0.0,10.2,0.3,4.35,24.53,6,0.03,18.4388,-66.1182,0.0,0.0,-0.6836019917292546,0.36542283148231836
2022,Cataño,72033,23060,0,19443,88,10917,351,13.7,0,43.6,0,22407,25007.51,1821,292.63,16783,77.8,5759,477.3279795,21.8,3651,79,64.0,304.0,7.6,1.5,45.61,13.75,14094,22.83,18.0,22.82,18.72,16.76,99.16,30.15,10.62,0.29,3.75,23.23,6,0.03,18.4388,-66.1182,0.0,0.0,-2.0224337185588026,0.12318518722151925
2023,Cataño,72033,22768,0,19321,96,11011,344,12.2,0,45.0,0,24307,26052.83,2045,304.7,16771,78.5,5546,544.0560633,22.8,3832,135,95.0,304.0,6.5,1.4,44.22,12.17,15583,22.15,17.34,23.79,17.93,16.05,99.14,32.23,13.24,0.27,3.26,22.09,6,0.03,18.4388,-66.1182,0.0,0.0,-1.2662619254119711,-0.19758897393058072
2024,Cataño,72033,22467,0,19175,107,11337,326,9.8,0,44.8,0,25508,26556.12,1492,313.7,16741,79.5,5557,498.7063264,23.2,3879,75,67.0,,6.1,1.5,42.24,9.79,16629,21.15,16.71,24.77,17.17,15.43,99.4,33.22,14.92,0.26,2.99,20.71,5,0.02,18.4388,-66.1182,0.0,0.0,-1.3220309205903003,-0.6520908011976544
2011,Cayey,72035,48184,0,38017,146,18566,226,14.2,0,50.2,0,20046,29106.77,1308,224.92,31488,51.8,9914,570.0561376,20.3,6387,71,47.38143096,479.0,0.0,0.0,37.84,14.17,10375,32.89,24.15,14.38,0.0,15.95,99.76,16.64,4.44,0.15,6.1,21.33,191,0.0,18.1119,-66.1663,65.0,0.0,-0.14713501191586653,0.6864141011067219
2012,Cayey,72035,48008,0,38070,169,18524,205,14.7,0,50.0,0,20912,29747.48,1129,229.59,31644,68.4,10123,548.249943,21.2,6698,80,57.0,484.0,0.0,0.0,38.56,14.68,10693,31.91,23.61,14.85,31.89,15.12,99.71,16.57,4.46,0.19,6.35,19.33,160,0.33,18.1119,-66.1663,0.0,0.0,-0.3652664784990822,-0.3248101028832775
2013,Cayey,72035,47700,0,38008,176,18979,243,15.1,0,49.7,0,21223,29753.7,1215,232.95,31729,70.4,10316,609.8016071,22.8,7224,76,50.0,481.0,91.7,0.9,39.04,15.12,11986,29.9,23.05,15.45,31.78,14.42,99.56,16.47,4.97,0.19,5.96,18.62,167,0.35,18.1119,-66.1663,0.0,0.0,-0.6415597400433293,-0.5056234526749898
2014,Cayey,72035,47252,0,37900,194,19380,208,14.9,0,49.3,0,21058,29053.04,1242,236.72,31747,71.3,10301,649.8015082,22.9,7262,114,59.0,474.0,92.2,1.0,41.29,14.9,12281,29.08,22.45,16.12,31.26,15.14,99.57,16.06,5.15,0.09,5.32,18.78,160,0.34,18.1119,-66.1663,0.0,0.0,-0.9392033542976908,-0.4063541508096366
2015,Cayey,72035,46647,0,37629,166,19938,215,12.8,0,48.3,0,20751,28594.84,1025,237.0,31676,72.0,10092,650.7995083,22.7,7176,210,98.0,477.0,7.2,1.1,41.48,12.82,12453,28.32,21.88,16.86,30.73,14.22,99.49,17.04,5.97,0.25,5.15,17.45,145,0.31,18.1119,-66.1663,45.0,0.0,-1.280369084906463,-0.6905449134556769
2016,Cayey,72035,46071,0,37388,160,20106,201,12.1,0,46.1,0,20577,28000.21,1305,240.01,31689,72.8,9569,632.8736051,24.1,7645,242,121.0,450.0,6.8,1.2,43.09,12.14,12441,27.51,21.18,17.69,30.92,14.31,99.47,0.0,5.8,0.27,4.28,16.93,142,0.31,18.1119,-66.1663,0.0,4.6,-1.2348060968551011,-0.7480935204347096
2017,Cayey,72035,45431,0,37159,161,20096,276,10.6,0,44.2,0,20442,27235.99,1398,245.12,31654,72.9,9207,546.1364298,23.7,7503,335,137.0,464.0,6.4,1.2,43.63,10.64,12594,27.44,20.51,18.53,31.19,15.61,99.52,0.0,5.35,0.4,3.17,17.82,149,0.33,18.1119,-66.1663,135.0,0.0,-1.3891602092422572,-0.7021831516849038
2018,Cayey,72035,44530,0,36828,153,20037,253,8.9,0,42.3,0,21320,27729.47,1445,251.1,31463,73.7,9568,667.9595796,22.9,7208,358,155.0,460.0,7.2,1.0,42.97,8.89,12088,26.64,19.7,19.37,32.06,14.84,99.71,0.0,5.37,0.4,2.82,17.33,130,0.29,18.1119,-66.1663,0.0,0.0,-1.983227311747482,-0.965261677522532
2019,Cayey,72035,43785,0,36546,142,20010,288,9.3,0,40.3,0,22518,28766.02,1296,255.65,31313,75.4,9622,658.559033,24.2,7564,462,166.0,471.0,7.2,1.1,40.94,9.31,12819,24.91,19.0,20.14,32.5,14.33,99.66,0.0,5.3,0.41,2.55,16.54,139,0.32,18.1119,-66.1663,40.0,4.6,-1.6730294183696426,-1.305330978693985
2020,Cayey,72035,43126,0,36428,177,19846,284,8.1,0,40.0,0,23104,29149.4,1312,258.86,31290,77.7,9855,752.1655403,26.2,8206,430,187.0,488.0,7.1,1.4,40.32,8.14,13567,22.65,18.11,21.06,31.81,14.77,99.84,0.0,5.23,0.23,1.84,17.05,140,0.32,18.1119,-66.1663,45.0,0.0,-1.5050816489665442,-1.5053870717682047
2021,Cayey,72035,42134,0,35912,141,19742,313,7.5,0,40.5,0,23823,28712.43,1807,270.97,30858,77.5,9928,805.067078,26.4,8160,453,159.0,504.0,6.6,1.3,40.15,7.51,14492,22.83,17.38,21.74,31.91,14.98,99.93,0.0,4.71,0.18,1.31,18.01,137,0.33,18.1119,-66.1663,35.0,0.0,-2.3002365162546945,-1.4285617516690985
2022,Cayey,72035,41509,0,35716,119,19696,528,6.7,0,41.7,0,26704,29803.21,1937,292.63,30794,78.5,9930,773.9676996,27.8,8562,518,174.0,523.0,5.7,1.0,39.76,6.72,16510,21.87,16.64,22.64,32.25,14.79,99.93,19.03,4.91,0.05,1.45,16.27,135,0.33,18.1119,-66.1663,75.0,0.0,-1.483362605022076,-1.7671303213956597
2023,Cayey,72035,41231,0,35771,152,19885,531,5.9,0,43.2,0,28461,30505.18,2227,304.7,30910,79.6,10065,778.8408053,29.0,8963,764,234.0,528.0,4.9,1.0,37.9,5.86,18126,20.7,16.02,23.37,32.15,16.37,99.95,19.64,5.47,0.05,1.52,15.8,135,0.33,18.1119,-66.1663,0.0,0.0,-0.6697342744946932,-2.063985271590275
2024,Cayey,72035,40917,0,35698,136,20583,537,5.0,0,44.5,0,30129,31367.0,2396,313.7,31007,80.5,10247,844.1338756,29.4,9106,682,246.0,,5.1,0.9,37.31,4.97,18854,19.85,15.37,24.13,32.8,15.29,99.95,19.46,5.74,0.11,1.42,14.76,147,0.36,18.1119,-66.1663,0.0,0.0,-0.7615629017001746,-2.3421189357669756
2011,Ceiba,72037,14087,0,11058,70,7595,160,12.9,0,48.1,0,19523,28347.38,2964,224.92,9158,47.8,2359,323.2785177,22.0,2016,77,128.0039062,89.0,0.0,0.0,41.03,12.94,9787,30.47,25.12,16.08,0.0,14.23,99.31,33.83,12.05,0.34,10.14,16.14,92,0.0,18.2633,-65.6474,65.0,4.0,-2.8013523770095916,0.06451814509514969
2012,Ceiba,72037,13726,0,10869,72,7456,163,12.8,0,44.1,0,20455,29097.4,2556,229.59,9016,71.4,2448,331.2657543,19.9,1792,27,43.0,93.0,0.0,0.0,40.97,12.76,9277,29.8,24.49,17.13,13.65,13.55,99.46,32.1,12.5,0.44,8.75,15.41,63,0.46,18.2633,-65.6474,0.0,4.1,-2.5626464115851455,-0.4125880012660498
2013,Ceiba,72037,13419,0,10684,70,7482,154,13.4,0,41.8,0,19520,27366.17,2474,232.95,8903,72.6,2685,333.2641595,17.7,1577,23,36.0,89.0,92.9,2.1,42.28,13.43,9444,28.57,23.8,18.14,13.64,12.7,99.63,29.74,10.47,0.09,9.0,14.54,42,0.31,18.2633,-65.6474,0.0,0.0,-2.236631210840745,-0.49087546765048423
2014,Ceiba,72037,13122,0,10576,53,7446,147,11.7,0,40.8,0,20339,28061.06,2524,236.72,8792,73.7,2813,305.7907781,18.1,1595,32,39.0,86.0,94.7,1.8,43.84,11.75,10640,27.54,23.08,19.23,12.09,13.39,99.47,31.08,9.78,0.09,8.82,12.66,42,0.32,18.2633,-65.6474,0.0,0.0,-2.213279678068414,-0.7251090761627472
2015,Ceiba,72037,12810,0,10376,58,7453,155,12.2,0,41.0,0,20702,28527.32,2319,237.0,8655,75.1,2832,308.7685217,18.7,1622,17,19.0,90.0,6.0,2.1,43.27,12.15,10269,26.12,22.46,20.1,11.41,12.85,99.72,29.12,10.69,0.17,8.46,12.48,28,0.22,18.2633,-65.6474,0.0,4.2,-2.3776863283036076,-0.849239489514679
2016,Ceiba,72037,12538,0,10236,64,7456,117,11.4,0,38.9,0,20038,27266.76,1901,240.01,8575,75.4,2862,323.1253627,17.3,1485,18,22.0,94.0,4.8,1.6,44.81,11.41,10584,25.9,21.63,21.1,10.5,12.96,99.03,0.0,11.16,0.16,7.07,14.85,24,0.19,18.2633,-65.6474,0.0,4.6,-2.1233411397345803,-0.5249586061735511
2017,Ceiba,72037,12238,0,10048,67,7448,156,11.9,0,39.7,0,18998,25312.07,2217,245.12,8479,72.5,2702,348.122105,17.7,1502,17,19.0,81.0,4.8,1.7,43.24,11.85,11840,28.77,20.8,22.05,10.15,13.11,99.18,0.0,11.92,0.5,8.03,15.69,20,0.16,18.2633,-65.6474,140.0,0.0,-2.392726112617638,-0.2763222182129178
2018,Ceiba,72037,11853,0,9819,70,7441,141,11.9,0,40.9,0,19103,24845.97,2515,251.1,8328,72.9,2560,295.5757094,18.9,1572,44,39.0,87.0,4.8,1.7,43.26,11.87,13044,28.42,19.89,22.89,9.15,14.59,98.98,0.0,13.39,0.52,6.89,17.61,18,0.15,18.2633,-65.6474,0.0,0.0,-3.1459388789017773,-0.06589214668695757
2019,Ceiba,72037,11515,0,9591,63,7404,140,12.7,0,41.4,0,18309,23389.16,1904,255.65,8217,73.2,2626,318.100613,18.1,1489,56,58.0,90.0,5.7,2.0,41.51,12.7,11204,28.09,18.88,23.76,9.64,15.98,98.82,0.0,14.86,0.53,6.13,18.02,18,0.16,18.2633,-65.6474,70.0,4.1,-2.851598751370965,-0.12923494777018765
2020,Ceiba,72037,11207,0,9399,68,7436,129,10.5,0,40.0,0,19092,24087.62,2032,258.86,8122,74.0,2521,326.4965543,19.6,1595,79,75.0,86.0,5.2,1.9,42.21,10.51,12240,27.37,17.91,24.56,9.55,14.25,98.52,0.0,14.62,0.44,4.79,16.85,20,0.18,18.2633,-65.6474,45.0,0.0,-2.67477203647416,-0.37626937305319796
2021,Ceiba,72037,11463,0,9676,60,7328,163,9.8,0,42.5,0,20748,25006.32,1798,270.97,8438,75.2,2934,446.03251,21.1,1778,91,66.0,81.0,5.7,2.2,41.29,9.85,13503,26.11,17.03,24.87,10.5,13.61,99.34,0.0,13.48,0.42,5.72,15.13,19,0.17,18.2633,-65.6474,0.0,4.8,2.284286606585173,-0.7793751878801332
2022,Ceiba,72037,11256,0,9598,60,7315,303,11.2,0,43.1,0,22945,25607.95,2422,292.63,8410,78.9,3019,390.8759394,22.1,1855,89,86.0,91.0,5.7,2.3,41.77,11.22,14198,22.41,16.1,25.87,10.75,12.46,98.92,30.72,12.78,0.0,4.81,12.69,34,0.3,18.2633,-65.6474,0.0,0.0,-1.805809997382879,-1.2408789445130866
2023,Ceiba,72037,11128,0,9576,64,7257,276,10.3,0,42.4,0,23204,24870.6,3211,304.7,8411,79.3,3192,407.4604275,21.5,1807,128,132.0,93.0,6.9,2.6,41.61,10.32,14428,22.03,15.39,26.58,11.59,11.88,98.73,28.63,12.31,0.0,5.32,11.05,44,0.4,18.2633,-65.6474,0.0,0.0,-1.1371712864250205,-1.5263216020560244
2024,Ceiba,72037,10995,0,9551,66,7527,293,9.5,0,42.2,0,25454,26499.9,2196,313.7,8402,80.1,3380,394.4426448,22.9,1925,109,108.0,,6.7,2.0,40.34,9.53,16091,21.22,14.79,27.39,12.28,11.07,99.04,29.85,10.87,0.0,5.01,9.67,63,0.57,18.2633,-65.6474,0.0,0.0,-1.195183321351545,-1.877822092222674
2011,Ciales,72039,18912,0,14599,78,7008,103,23.1,0,36.4,0,13936,20235.06,899,224.92,11901,38.8,3284,305.3211424,11.2,1329,0,130.1076477,103.0,0.0,0.0,59.6,23.06,6402,43.12,26.31,13.68,0.0,15.59,99.69,13.93,2.2,0.0,8.57,20.35,48,0.0,18.3361,-66.4688,70.0,0.0,-0.8129228509991093,3.184097210216329
2012,Ciales,72039,18712,0,14587,72,7035,102,21.0,0,33.6,0,13722,19519.65,1055,229.59,11927,57.0,3337,347.5701368,9.7,1161,0,20.0,114.0,0.0,0.0,61.92,21.02,6231,43.89,25.48,14.16,14.46,15.36,99.71,15.56,3.67,0.0,7.68,20.76,39,0.21,18.3361,-66.4688,0.0,0.0,-1.0575296108291,2.9753697295930994
2013,Ciales,72039,18509,0,14592,76,7143,104,20.6,0,31.6,0,13802,19349.79,1226,232.95,11954,60.8,3645,381.5363679,10.3,1230,16,26.0,106.0,94.6,1.2,60.55,20.59,6488,40.11,24.7,14.78,12.55,14.99,99.76,15.67,3.25,0.0,7.72,20.36,32,0.17,18.3361,-66.4688,0.0,0.0,-1.084865327062845,2.5797728436727687
2014,Ciales,72039,18242,0,14515,82,7245,109,21.3,0,31.1,0,12565,17335.52,1124,236.72,11948,63.1,3730,366.2840428,11.6,1382,22,34.0,101.0,95.7,1.3,59.68,21.29,6684,37.84,23.91,15.52,13.72,14.54,99.59,15.91,3.67,0.0,7.42,20.49,21,0.12,18.3361,-66.4688,0.0,0.0,-1.4425414663136849,2.369488970897393
2015,Ciales,72039,17928,0,14353,73,7421,110,17.7,0,29.4,0,12630,17404.12,1487,237.0,11896,63.7,3639,343.2375271,13.0,1541,17,26.0,95.0,4.8,1.5,59.55,17.69,6774,37.23,23.26,16.23,15.98,14.9,99.53,16.73,4.04,0.0,6.15,20.12,16,0.09,18.3361,-66.4688,45.0,0.0,-1.7213024887621997,2.039556414853824
2016,Ciales,72039,17644,0,14229,87,7322,129,14.1,0,28.6,0,12511,17024.38,1653,240.01,11891,64.6,3545,311.746692,14.1,1677,19,29.0,95.0,4.6,1.3,60.8,14.13,7080,36.31,22.52,17.16,20.02,17.15,99.61,0.0,4.66,0.0,5.46,20.23,17,0.1,18.3361,-66.4688,0.0,0.0,-1.5841142347166492,1.781894075100129
2017,Ciales,72039,17325,0,14060,80,7335,148,20.1,0,29.8,0,14432,19228.54,1483,245.12,11848,67.4,3769,417.4685617,14.3,1690,34,42.0,103.0,4.3,1.3,58.16,20.13,8049,33.54,21.86,18.04,24.47,16.61,99.48,0.0,3.11,0.0,5.03,18.39,18,0.1,18.3361,-66.4688,135.0,0.0,-1.807980049875313,1.3855354871930132
2018,Ciales,72039,16912,0,13856,83,7243,172,20.0,0,30.5,0,15071,19601.82,1581,251.1,11763,66.7,3649,351.0113958,15.1,1776,19,21.0,101.0,3.9,1.4,55.86,20.02,8398,34.24,21.02,19.05,26.34,15.93,99.11,0.0,3.88,0.0,4.14,18.14,17,0.1,18.3361,-66.4688,0.0,0.0,-2.383838383838388,1.215825051023489
2019,Ciales,72039,16513,0,13641,77,7267,165,19.6,0,33.8,0,16867,21547.05,1210,255.65,11689,67.1,3433,359.702655,15.8,1848,42,42.0,107.0,4.7,1.7,55.09,19.63,9106,33.82,20.11,20.02,29.24,15.07,99.14,0.0,3.62,0.1,5.52,16.89,15,0.09,18.3361,-66.4688,0.0,0.0,-2.3592715231788075,0.9057565420186346
2020,Ciales,72039,16188,0,13465,83,7321,146,21.5,0,34.8,0,17783,22436.1,1856,258.86,11624,68.9,3474,385.19865,15.6,1808,71,67.0,102.0,4.2,1.4,54.78,21.55,9730,32.05,19.47,20.97,28.13,14.62,99.26,0.0,2.94,0.15,5.32,15.12,13,0.08,18.3361,-66.4688,45.0,5.6,-1.968146308968688,0.675624190600211
2021,Ciales,72039,17045,0,14266,95,7335,139,23.7,0,33.4,0,18990,22887.51,2051,270.97,12399,67.1,3599,379.8855091,15.4,1914,95,86.0,113.0,4.1,1.3,55.25,23.7,9435,33.8,18.79,21.99,26.47,13.23,99.31,0.0,2.55,0.45,5.1,14.0,10,0.06,18.3361,-66.4688,0.0,4.2,5.2940449715839,0.8669017061241069
2022,Ciales,72039,16924,0,14238,86,7200,293,17.7,0,35.4,0,19618,21894.82,1734,292.63,12489,67.7,3697,525.8174588,15.9,1987,83,86.0,119.0,4.7,1.2,55.73,17.65,9386,33.17,18.0,23.05,24.14,14.03,99.4,20.16,2.92,0.49,4.33,13.4,7,0.04,18.3361,-66.4688,75.0,4.22,-0.7098855969492557,0.5428727472377689
2023,Ciales,72039,16874,0,14248,114,7276,263,14.8,0,34.5,0,20614,22094.58,2021,304.7,12602,70.6,3786,476.9675041,17.0,2142,66,78.0,121.0,4.9,1.6,58.24,14.81,9927,30.31,17.35,24.07,24.14,14.54,99.57,19.45,3.12,0.52,5.33,12.59,8,0.05,18.3361,-66.4688,0.0,0.0,-0.29543843063105646,0.2475506774289926
2024,Ciales,72039,16805,0,14341,100,7454,251,11.5,0,35.2,0,22586,23514.06,2458,313.7,12699,70.7,3518,488.1444458,16.8,2138,47,76.0,,6.5,1.9,54.3,11.55,10672,30.19,16.69,25.15,24.64,14.41,99.87,19.88,2.84,0.32,3.34,13.44,22,0.13,18.3361,-66.4688,0.0,0.0,-0.40891312077753206,-0.09251936363847117
2011,Cidra,72041,43564,0,33616,152,15378,184,12.4,0,53.3,0,23354,33909.99,1626,224.92,27849,53.4,9170,516.3816418,20.5,5713,131,78.77182237,347.0,0.0,0.0,38.67,12.37,11058,29.86,25.48,11.63,0.0,17.37,99.72,17.8,1.86,0.27,6.91,17.04,173,0.0,18.1758,-66.1617,65.0,0.0,-0.09173470323823318,-0.057259686043884074
2012,Cidra,72041,43414,0,33871,154,15246,149,12.1,0,53.6,0,23804,33861.38,1394,229.59,28022,72.3,9275,577.9454992,21.7,6077,128,69.0,349.0,0.0,0.0,38.45,12.12,11165,28.11,24.87,12.11,29.48,17.69,99.72,18.13,1.92,0.17,6.41,16.22,175,0.4,18.1758,-66.1617,0.0,0.0,-0.3443209989899887,-1.037579804467375
