scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat1,Dorado,North,30627.82009654093,31254.09846805875,-626.2783715178193,-2.0038279848573044
hurricane_cat1,Vega Alta,North,29865.49640774682,30475.32482494106,-609.8284171942396,-2.0010563322860957
hurricane_cat1,San Germán,West,26367.675489421345,26937.15074451924,-569.4752550978956,-2.1140886818319626
hurricane_cat1,Camuy,North,27721.65914011875,28289.04159455817,-567.3824544394192,-2.0056616359479778
hurricane_cat1,Barranquitas,Central Mountains,24754.200976987246,25313.920172988455,-559.7191960012096,-2.2111122741015246
hurricane_cat1,Naranjito,Central Mountains,24639.2129001489,25196.619146755285,-557.4062466063842,-2.2122263441766736
hurricane_cat1,Morovis,Central Mountains,24218.92085982296,24765.856182764444,-546.9353229414846,-2.2084248527701575
hurricane_cat1,Lares,Central Mountains,23707.196957422337,24241.791121349102,-534.5941639267658,-2.2052585192682517
hurricane_cat1,Utuado,Central Mountains,23361.46012089805,23890.013559631316,-528.5534387332664,-2.2124451181827762
hurricane_cat1,Naguabo,East,19742.20749489873,20254.59199035036,-512.3844954516317,-2.529720152821348
hurricane_cat1,Salinas,South,21212.81569187794,21716.105832204106,-503.2901403261676,-2.3175892778152183
hurricane_cat1,Loíza,East,19244.420108204547,19742.512828899326,-498.0927206947781,-2.5229449007406193
hurricane_cat1,Aibonito,Central Mountains,21072.467761664273,21549.164234152406,-476.6964724881327,-2.2121343886397025
hurricane_cat1,Añasco,West,21257.674979307034,21715.54323079694,-457.86825148990465,-2.108481683481705
hurricane_cat1,Aguas Buenas,Central Mountains,20056.758439098223,20510.680681744376,-453.9222426461529,-2.2131017965199393
hurricane_cat1,Villalba,South,18273.611589981578,18706.608049753955,-432.9964597723774,-2.314671150540691
hurricane_cat1,Lajas,West,19617.473902575097,20040.045886218148,-422.57198364305077,-2.1086378047350687
hurricane_cat1,Cataño,Metro,19069.529376668863,19480.10528452896,-410.5759078600968,-2.107667807042988
hurricane_cat1,Sabana Grande,West,19045.12027941022,19455.394156479215,-410.2738770689939,-2.1087924190544385
hurricane_cat1,Orocovis,Central Mountains,17975.426519940425,18381.877775514284,-406.45125557385836,-2.211151986416071
hurricane_cat1,Quebradillas,North,19717.866935708676,20120.91961021853,-403.0526745098541,-2.0031523524658454
hurricane_cat1,Santa Isabel,South,16949.818491711772,17351.114525196113,-401.296033484341,-2.3127968690518763
hurricane_cat1,Peñuelas,South,16692.12504408393,17087.27593536822,-395.150891284291,-2.3125446840030546
hurricane_cat1,Barceloneta,North,19018.757192798592,19408.38915473382,-389.6319619352289,-2.007544051332026
hurricane_cat1,Luquillo,East,14810.076829945549,15193.948895806192,-383.8720658606435,-2.5264799065277836
hurricane_cat1,Comerío,Central Mountains,15950.626854405858,16310.975935526356,-360.34908112049743,-2.209242920502592
hurricane_cat1,Adjuntas,Central Mountains,15254.491983274644,15600.014532777845,-345.52254950320093,-2.214886074479027
hurricane_cat1,Guayanilla,South,14485.227548611309,14828.913343772288,-343.68579516098,-2.317673501715606
hurricane_cat1,Ciales,Central Mountains,14237.09635005446,14558.878643179347,-321.78229312488656,-2.2102134443962655
hurricane_cat1,Patillas,South,13161.596739292892,13473.816807714024,-312.22006842113115,-2.317235515940658
hurricane_cat1,Arroyo,South,12855.469748001939,13160.551518361613,-305.0817703596749,-2.3181533838762345
hurricane_cat1,Hormigueros,West,13109.816626001844,13392.318669501756,-282.50204349991145,-2.109433403367645
hurricane_cat1,Rincón,West,13047.695631599025,13328.837244701675,-281.1416131026508,-2.109273359267756
hurricane_cat1,Jayuya,Central Mountains,12406.087592452717,12686.645047744147,-280.5574552914295,-2.2114393067323683
hurricane_cat1,Ceiba,East,9354.272866482484,9596.129160304234,-241.8562938217492,-2.5203526315821434
hurricane_cat1,Guánica,West,10850.564030738235,11084.828031593845,-234.26400085561,-2.11337514833711
hurricane_cat1,Maunabo,East,8796.953131637465,9024.84194767252,-227.88881603505433,-2.525128056052286
hurricane_cat1,Florida,North,9757.080763533926,9956.632954937322,-199.55219140339614,-2.004213596167986
hurricane_cat1,Vieques,East,6827.755375709931,7004.709148534811,-176.9537728248797,-2.5262115681404627
hurricane_cat1,Las Marías,West,7391.00685093613,7550.410805216625,-159.40395428049487,-2.111195779842359
hurricane_cat1,Maricao,West,4187.017019431476,4277.046543060134,-90.02952362865835,-2.104946081887717
hurricane_cat1,Culebra,East,1215.6168674912865,1246.8664388394513,-31.249571348164864,-2.5062484942052894
hurricane_cat2,San Juan,Metro,277314.718214939,289431.64590439474,-12116.92768945574,-4.1864557179273385
hurricane_cat2,Bayamón,Metro,150330.2321173221,156902.74167779938,-6572.50956047728,-4.188906764914257
hurricane_cat2,Carolina,Metro,125749.09157538696,131226.06253544748,-5476.970960060513,-4.1736914559796725
hurricane_cat2,Caguas,East,103159.41171534066,108592.64469146203,-5433.232976121377,-5.003315824527992
hurricane_cat2,Ponce,South,109377.39110420321,114649.38023057082,-5271.989126367611,-4.598358155765987
hurricane_cat2,Guaynabo,Metro,74471.26392894417,77715.8245290668,-3244.560600122626,-4.174903399383115
hurricane_cat2,Arecibo,North,72193.12105210914,75175.79700653075,-2982.675954421604,-3.967601373301689
hurricane_cat2,Toa Baja,Metro,60444.190800616714,63082.72121924925,-2638.5304186325375,-4.182651552811277
hurricane_cat2,Mayagüez,West,59018.14866028409,61592.12087609472,-2573.9722158106306,-4.179060859080836
hurricane_cat2,Trujillo Alto,Metro,55506.07441348577,57932.11465003071,-2426.040236544941,-4.187729467844749
hurricane_cat2,Toa Alta,Metro,55218.23352733434,57628.66421612508,-2410.430688790737,-4.182694014476695
hurricane_cat2,Humacao,East,41368.74237089687,43545.550044930904,-2176.807674034033,-4.998921064926204
hurricane_cat2,Río Grande,East,37816.74000719166,39812.077682038056,-1995.3376748463925,-5.011890338359873
hurricane_cat2,Aguadilla,West,44760.157164184064,46711.722970192684,-1951.5658060086207,-4.177893003976622
hurricane_cat2,Vega Baja,North,44487.57871567374,46329.54681641854,-1841.9681007447944,-3.9757956365159757
hurricane_cat2,Juana Díaz,South,38156.23922936439,39994.66517273764,-1838.425943373244,-4.596677920500275
hurricane_cat2,Canóvanas,East,34438.11394094212,36253.1792731491,-1815.0653322069775,-5.006637675916343
hurricane_cat2,Gurabo,East,32769.69959678467,34495.71063609977,-1726.0110393151044,-5.003552637378728
hurricane_cat2,Cabo Rojo,West,38847.18588850057,40543.96741601448,-1696.7815275139073,-4.185040674740911
hurricane_cat2,San Lorenzo,East,31041.797643217,32673.639341861868,-1631.8416986448683,-4.994367727362813
hurricane_cat2,Juncos,East,30449.103927405788,32052.989371269712,-1603.8854438639246,-5.003856037532483
hurricane_cat2,Cayey,Central Mountains,33948.279796785355,35506.056745983,-1557.7769491976433,-4.387355544273115
hurricane_cat2,Isabela,West,35664.83217917902,37221.41004842993,-1556.5778692509048,-4.181942240300927
hurricane_cat2,Las Piedras,East,28688.022103868312,30198.7787285634,-1510.7566246950882,-5.002707686540134
hurricane_cat2,Cidra,Central Mountains,32938.75090212881,34449.29369099025,-1510.5427888614358,-4.384829490006346
hurricane_cat2,San Sebastián,West,32841.248716713846,34265.764456680976,-1424.5157399671298,-4.157256557833439
hurricane_cat2,Guayama,South,29218.004343888082,30623.739166124647,-1405.7348222365654,-4.590343506424456
hurricane_cat2,Fajardo,East,26002.87518584392,27373.249106107138,-1370.3739202632169,-5.00625232668298
hurricane_cat2,Aguada,West,31206.520091059385,32568.39396648024,-1361.8738754208534,-4.1815813110788005
hurricane_cat2,Coamo,South,28160.91911952698,29520.510152782776,-1359.5910332557942,-4.605581089958337
hurricane_cat2,Moca,West,30848.264106699466,32200.227564016765,-1351.963457317299,-4.1986146049107305
hurricane_cat2,Manatí,North,32481.58128042873,33826.163114067414,-1344.5818336386837,-3.9749759057937837
hurricane_cat2,Corozal,Central Mountains,28835.49174767739,30160.214554681897,-1324.7228070045057,-4.392285753149139
hurricane_cat2,Hatillo,North,31957.964699154007,33279.90417461506,-1321.9394754610548,-3.9721853420160738
hurricane_cat2,Yauco,South,27271.04327600547,28586.127429302716,-1315.0841532972481,-4.600427800336459
hurricane_cat2,Yabucoa,East,24141.726121302185,25412.82085392617,-1271.0947326239839,-5.001785279683366
hurricane_cat2,Dorado,North,30011.545313344956,31254.09846805875,-1242.5531547137944,-3.975648684871414
hurricane_cat2,Vega Alta,North,29265.39759444765,30475.32482494106,-1209.9272304934093,-3.970186494954773
hurricane_cat2,San Germán,West,25807.79906985326,26937.15074451924,-1129.3516746659807,-4.1925431734674605
hurricane_cat2,Camuy,North,27163.34538820872,28289.04159455817,-1125.6962063494502,-3.979265973315954
hurricane_cat2,Barranquitas,Central Mountains,24204.3528794129,25313.920172988455,-1109.5672935755538,-4.383229803969801
hurricane_cat2,Naranjito,Central Mountains,24091.647516263023,25196.619146755285,-1104.9716304922622,-4.385396405987888
hurricane_cat2,Morovis,Central Mountains,23681.548551042033,24765.856182764444,-1084.3076317224113,-4.378236002505032
hurricane_cat2,Lares,Central Mountains,23182.00723580405,24241.791121349102,-1059.7838855450536,-4.37172270085163
hurricane_cat2,Utuado,Central Mountains,22842.23465203029,23890.013559631316,-1047.7789076010267,-4.385844758880902
hurricane_cat2,Naguabo,East,19240.169015007115,20254.59199035036,-1014.4229753432446,-5.008360453898717
hurricane_cat2,Salinas,South,20718.830844275093,21716.105832204106,-997.2749879290132,-4.59232882559494
hurricane_cat2,Loíza,East,18756.35774879261,19742.512828899326,-986.1550801067169,-4.9950839016965025
hurricane_cat2,Aibonito,Central Mountains,20604.183819924452,21549.164234152406,-944.9804142279536,-4.385229997599128
