municipio,kmeans_cluster,hier_cluster,vulnerability_score_0_1,median_income_real,income_growth,max_seismic_mag,lag_violent_crime_rate,lag_property_crime_rate
Aibonito,1,1,0.6004424396738698,22637.46,-2.733269770585467,-0.0,0.2438033319788703,0.5282405526208858
Arroyo,1,0,0.7344856092224398,22056.53,8.702656882216964,-0.0,0.7063507352469017,0.642137032042638
Añasco,1,1,0.5103370822761891,25440.07,0.6116968685486501,0.5064838826752387,0.2370042660767893,0.1975035550639911
Barranquitas,1,1,0.7853101647090712,24368.79,2.56604621719998,-0.0,0.3105161468396356,0.6555340877725642
Cabo Rojo,1,1,0.3612873383884144,27493.1,-0.2691956523868444,0.5064838826752387,0.1490789053348951,0.6602065807688212
Ciales,1,1,0.962155482090643,23514.06,6.424562041912529,-0.0,0.3555766267630674,0.4148393978902453
Coamo,1,1,0.6479188388676551,22950.83,2.9613668827207063,-0.0,0.1457980987927917,0.2332769580684668
Comerío,1,1,0.9992331440482494,17838.03,-3.543022454138678,-0.0,0.1597869507323568,0.5326231691078561
Corozal,1,1,0.6867320639244516,24774.82,-3.4193878362511088,-0.0,0.1450368393571967,0.5221326216859081
Florida,1,1,0.8162497856773214,23249.62,2.25636198903969,-0.0,0.4301445285615967,0.8602890571231934
Guayama,1,1,0.4919119348265616,21240.32,-2.249380899062048,-0.0,0.3347747245082996,0.4742641930534244
Guayanilla,1,1,0.7326851527057523,24897.67,8.547924469733005,0.5064838826752387,0.3444712366517396,0.7463543460787692
Guánica,1,1,1.0,18357.54,5.65934568761739,0.5064838826752387,0.1507613447911955,0.6784260515603798
Hormigueros,1,1,0.2811929556732842,27930.36,4.813437862719061,0.5064838826752387,0.1932989690721649,0.5154639175257733
Isabela,1,1,0.522796386369679,24222.0,10.324460128880396,-0.0,0.2098978497131396,0.3031857829189794
Jayuya,1,1,0.8295808368110176,22691.6,14.978591877580993,-0.0,0.1364908209922882,0.4094724629768648
Juana Díaz,1,1,0.7723626420730654,25873.17,1.3280692533815586,-0.0,0.2809231567119025,0.2809231567119025
Lajas,1,1,0.7790672578149858,20504.27,1.1113023333108265,0.5064838826752387,0.1729131543682185,0.2161414429602732
Lares,1,1,0.9439717537689942,19694.3,-4.908342772825469,0.5064838826752387,0.214715144574864,0.644145433724592
Las Marías,1,1,0.96706054011261,16984.34,-2.0024360423485876,0.5064838826752387,0.1137656427758816,0.7963594994311718
Loíza,1,1,0.6520873344522113,25269.33,4.782252807674903,-0.0,0.0,0.0
Maricao,1,1,0.9762202905307227,22177.3,0.7310933606584857,0.5064838826752387,0.0,0.965996908809892
Maunabo,1,1,0.9595000889376577,18786.47,-9.47906713636536,-0.0,0.4770082045411181,0.8586147681740126
Mayagüez,1,1,0.45223005520295856,19046.74,-1.0722384561926868,0.5064838826752387,0.3898418355981287,0.4733793717977277
Moca,1,1,0.7664767640087626,24555.15,6.9796206265730465,-0.0,0.1336826907651997,0.2941019196834394
Morovis,1,0,0.6580732643998188,26030.37,5.545628271391534,-0.0,0.3504591014228639,0.9111936636994462
Naranjito,1,1,0.8753894284813803,23066.39,0.568670332525878,-0.0,0.3077343910278329,0.6838542022840731
Orocovis,1,1,0.9481911180960674,21136.21,3.4511096068691183,-0.0,0.1405086412814388,1.0303967027305514
Patillas,1,1,0.672359779728393,25398.43,1.1717931538312687,-0.0,0.3173998603440614,0.6982796927569351
Peñuelas,1,1,1.0,23629.62,5.1871497785826115,0.5064838826752387,0.2987750224081266,0.6473458818842746
Ponce,1,1,0.441795373244234,20693.74,2.549700855780923,0.5064838826752387,0.3712613977249102,0.3564109418159137
Quebradillas,1,1,0.4998925466073857,25652.46,1.3099522644848482,-0.0,0.4257855743847398,0.3406284595077919
Rincón,1,1,0.4082664742144023,25451.53,-5.8557878749544106,-0.0,0.1309243257397224,0.7855459544383347
Río Grande,1,1,0.35267904087703994,30132.27,5.115270985452058,-0.0,0.0,0.0
Sabana Grande,1,1,0.40522641503124335,22971.65,4.222405617896463,0.5064838826752387,0.177454416396788,0.133090812297591
San Germán,1,1,0.6085585320776189,19069.64,-0.7211518437997166,0.5064838826752387,0.0634638573332487,0.2538554293329949
San Lorenzo,1,1,0.6686910402968913,23785.78,4.089440902461083,-0.0,0.3198720511795282,0.6397441023590564
San Sebastián,1,1,0.7142085363860972,20738.51,8.493892987202134,0.5064838826752387,0.0510620915032679,0.4084967320261438
Utuado,1,1,0.7342465061373453,21654.67,14.636658985284656,0.5064838826752387,0.143389733295096,0.3584743332377402
Villalba,1,1,0.6312015534067855,27366.09,2.613358591000159,-0.0,0.0918357975939021,0.5969326843603636
Yabucoa,1,0,0.7281934139284393,23886.77,4.7328184698434805,-0.0,0.502209722780233,0.7030936118923262
