year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe,poverty_rate_pct,unemployment_rate_pct.1,per_capita_income,no_hs_diploma_pct,under_18_pct,over_65_pct,disability_pct,single_parent_pct,minority_pct,limited_english_pct,multi_unit_housing_pct,mobile_homes_pct,crowding_pct,no_vehicle_pct,group_quarters_count,pct_group_quarters,lat,lon,max_wind_knots,max_seismic_mag,murder,robbery,burglary,larceny / theft,total,murder_rate,robbery_rate,burglary_rate,target_pop_change,lag_violent_crime_rate,lag_property_crime_rate,lag_pop_change_1,lag_pop_change_2,income_growth,per_capita_income_inv,split,vulnerability_index,vulnerability_score_0_1,kmeans_cluster_4,kmeans_cluster_3,hier_cluster_4,hier_cluster_3,typology_label,net_migration_proxy
2024,Cidra,72041,39643,0,33897,146,17287,399,6.3,0,43.5,0,29246,30447.72,1742,313.7,29504,81.4,10073,662.649983,27.2,8031,307,150.0,0.0,5.0,1.1,34.72,6.27,17010,19.03,16.87,21.28,35.76,12.7,99.86,19.21,2.18,0.0,2.78,9.37,206,0.52,18.1758,-66.1617,0.0,0.0,7.0,11.0,18.0,37.0,120.0,0.1765759402668819,0.277476477562243,0.454052417829125,-0.306802464478817,0.3772161448509996,0.9304664906324658,-0.1657000828500399,-0.7327102803738272,4.63511570005104,-17010,test,-3.693078198014266,0.6509257062479084,2,0,3,2,Disaster-exposed,
2024,Coamo,72043,33998,0,29170,131,16674,586,7.1,0,42.5,0,22045,22950.83,1944,313.7,25997,82.8,10418,807.9962871,23.4,6086,257,114.0,0.0,3.9,1.1,50.24,7.06,14023,17.68,16.38,21.59,30.39,13.84,99.95,33.91,5.4,0.03,3.22,11.01,209,0.61,18.0855,-66.3579,0.0,0.0,3.0,0.0,7.0,23.0,73.0,0.0882404847343961,0.0,0.2058944643802576,-0.8631247448533275,0.1457980987927917,0.2332769580684668,-0.7610614347310252,-2.015991833957131,2.9613668827207063,-14023,test,-2.4863718137515547,0.7899167700720013,2,1,3,2,Disaster-exposed,
2024,Comerío,72045,18711,0,15955,122,8056,310,15.3,0,40.9,0,17134,17838.03,1751,313.7,13928,72.6,4102,618.6517599,18.3,2547,40,61.0,0.0,3.9,1.7,52.81,15.26,11382,28.22,16.87,22.15,27.06,15.2,100.0,14.04,3.4,0.19,3.08,18.52,79,0.42,18.2183,-66.2257,0.0,0.0,1.0,2.0,10.0,23.0,80.0,0.0534444978889423,0.1068889957778846,0.5344449788894233,-0.3408788282290298,0.1597869507323568,0.5326231691078561,-0.223202423340596,-0.9110057925223792,-3.543022454138678,-11382,test,-0.8470734103510446,0.9787347227945997,2,1,3,2,High vulnerability decline,
2024,Corozal,72047,34444,0,29164,217,13966,491,6.6,0,42.4,0,23797,24774.82,3102,313.7,25277,77.9,7356,658.1261277,21.1,5323,22,37.0,0.0,4.9,1.8,43.14,6.6,12915,22.59,17.95,21.28,22.61,12.76,99.7,20.24,2.36,0.51,5.13,11.78,272,0.79,18.3411,-66.3161,0.0,0.0,4.0,6.0,18.0,50.0,114.0,0.1161305307165253,0.174195796074788,0.5225873882243641,-0.0870221036143203,0.1450368393571967,0.5221326216859081,0.0435299921645926,-0.4966648378620264,-3.4193878362511088,-12915,test,-2.1736615236298027,0.8259354208884709,2,1,3,2,Disaster-exposed,
2024,Culebra,72049,1387,246,1205,195,1539,105,0.0,0,58.9,0,29630,30847.49,7604,313.7,948,90.0,443,122.8006515,18.1,172,0,15.0,0.0,10.2,5.6,25.74,0.0,16635,22.78,15.28,31.65,6.56,10.11,96.61,17.18,8.12,0.97,29.39,18.89,0,0.0,18.303,-65.301,0.0,0.0,1.0,0.0,2.0,7.0,18.0,0.7209805335255948,0.0,1.4419610670511895,8.274785323965661,0.0,1.56128024980484,8.01011804384486,-8.275328692962102,4.22382409235964,-16635,test,-4.786764062485294,0.5249525915162087,3,2,4,3,Relative resilience / stabilization,
2024,Dorado,72051,35810,0,30342,207,16454,481,11.0,0,49.4,0,36391,37886.3,4455,313.7,26023,86.0,5883,771.5134477,40.8,10624,502,196.0,0.0,5.7,1.6,27.46,11.03,28640,14.5,17.82,19.74,15.23,11.26,97.43,38.72,3.54,0.17,3.41,9.71,101,0.28,18.4588,-66.2677,0.0,0.0,7.0,19.0,69.0,152.0,300.0,0.1954761239877129,0.5305780508237922,1.926836079307456,-0.0167522894795602,0.8376144739781103,1.5077060531605986,0.0838316660146443,-0.6772134332500679,5.868877434397657,-28640,test,-5.8772145952744825,0.3993521293188348,1,0,2,2,Relative resilience / stabilization,
2024,Fajardo,72053,31489,0,26986,140,19314,498,15.1,0,49.3,0,25563,26613.38,2524,313.7,23454,85.9,7683,604.8487414,28.8,6756,152,107.0,0.0,6.0,1.3,40.35,15.06,15319,14.61,16.69,24.21,20.87,14.86,99.16,33.27,10.89,0.08,3.09,12.54,238,0.76,18.3258,-65.6524,0.0,0.0,10.0,16.0,36.0,73.0,219.0,0.3175712153450411,0.5081139445520658,1.1432563752421478,-0.8407859931981343,0.6298022420959819,0.8817231389343746,-0.7128564282141037,-1.0885700148441368,-1.3508509400874336,-15319,test,-3.694624317771154,0.6507476208141924,2,0,3,2,Disaster-exposed,
2024,Florida,72054,11532,0,9782,98,5215,288,18.2,0,46.9,0,22332,23249.62,2429,313.7,8081,78.1,2536,421.5613834,22.3,1804,0,24.0,0.0,4.4,2.0,48.99,18.17,12320,23.47,17.17,22.44,20.24,13.86,99.66,25.86,4.81,0.38,3.56,12.17,41,0.36,18.3625,-66.5614,0.0,0.0,4.0,1.0,6.0,24.0,54.0,0.346860908775581,0.0867152271938952,0.5202913631633715,-0.7914659325533369,0.4301445285615967,0.8602890571231934,-0.1460355639549826,-0.7164179104477642,2.25636198903969,-12320,test,-1.619510717523002,0.8897637150487134,2,1,3,2,High vulnerability decline,
2024,Guayama,72057,35298,0,30324,158,18983,603,4.5,0,37.7,0,20402,21240.32,1517,313.7,25858,81.1,8850,752.3469944,25.2,6515,558,310.0,0.0,3.9,1.4,49.01,4.47,13751,19.36,16.7,21.38,22.94,15.74,99.92,25.46,7.15,0.4,2.81,14.92,1785,5.06,17.9741,-66.11,0.0,0.0,6.0,15.0,38.0,72.0,256.0,0.1699813020567737,0.4249532551419344,1.0765482463595673,-1.526014785883667,0.3347747245082996,0.4742641930534244,-1.42994637701086,-2.736172033807638,-2.249380899062048,-13751,test,-3.1474830337088893,0.713768542991843,2,1,3,2,Disaster-exposed,
2024,Guayanilla,72059,17141,0,14538,74,8411,290,17.3,0,40.1,0,23915,24897.67,2978,313.7,12681,80.4,3636,410.9622854,24.1,3060,55,49.0,0.0,3.2,1.3,46.36,17.32,13081,20.65,17.09,24.45,16.99,14.98,99.83,21.61,2.0,0.0,3.27,13.6,71,0.41,18.013,-66.7919,0.0,4.4,3.0,2.0,13.0,21.0,72.0,0.1750189603873753,0.1166793069249168,0.7584154950119596,-1.5903088758755346,0.3444712366517396,0.7463543460787692,-1.4261460101867574,-2.0889898598104972,8.547924469733005,-13081,test,-1.9986804916393577,0.8460901164321175,0,1,1,1,High vulnerability decline,
