municipio,region,year,total_population,target_pop_change_3y_avg,svi_pca_1,wind_3yr_sum,seismic_3yr_sum,wind_3yr_x_svi,seismic_3yr_x_svi,income_growth,establishment_growth,lag_total_crime_rate
Hormigueros,West,2024,15441.0,,,6.683151229642274,95265.61252629355,-0.9509818195930476,-13555.86046640309,12.341565441235613,0.0,70.87628865979381
Isabela,West,2024,42890.0,,,4.048577786862198,78042.23711156206,10.95824951225872,211236.22955659495,18.248388986526077,0.0,51.3083632632119
Lajas,West,2024,23035.0,,,8.488383464038595,125767.3079703938,22.3519570382038,331175.59738839895,8.3735200845666,0.0,38.90545973284918
Las Marías,West,2024,8744.0,,,5.26316062623252,92156.67580161768,20.976591024858543,367295.06009486713,5.036116264687696,0.0,91.01251422070536
Maricao,West,2024,4988.0,,,5.8099102511074046,104295.31455789776,29.907599564003984,536879.6365838695,7.966019181149897,0.0,96.5996908809892
Mayagüez,West,2024,70828.0,,,6.287165863500088,88925.79432464403,7.208142654814795,101952.10769068412,6.033179313032355,0.0,86.32212073958564
Moca,West,2024,37424.0,,,4.962494660012984,74738.40546117464,16.94843891309072,255254.54155696963,14.663320102731747,0.0,42.77846104486391
Rincón,West,2024,15378.0,,,5.3383825770751425,71947.69519853435,7.313282009431374,98564.27060418358,0.9060381397930416,0.0,91.64702801780572
Sabana Grande,West,2024,22407.0,,,6.754141269901825,138370.66953482764,17.16136909101573,351581.3537747722,11.708082085197448,0.0,31.05452286943791
San Germán,West,2024,31305.0,,,7.520070742659695,122160.22788580332,13.12555777821375,213218.88904834597,6.409463757602807,0.0,31.73192866662436
San Sebastián,West,2024,39088.0,,,4.716493552404291,82517.94720684599,15.974766346196756,279488.3341513724,16.28636312661209,0.0,45.95588235294118
