region,year,total_population,target_pop_change_3y_avg,svi_pca_1,wind_3yr_sum,seismic_3yr_sum,wind_3yr_x_svi,seismic_3yr_x_svi,income_growth,establishment_growth,lag_total_crime_rate
South,2024,34636.75,,,4.076784247509174,84886.50108330605,13.859227336209868,288449.56817182136,11.179319251471815,0.0,90.2452260120674
West,2010,35025.125,-0.5546159093049542,2.532970644194193,0.3855994763188023,30295.77430610806,0.9740976557998449,81351.2469307099,,,
West,2011,34837.25,-0.8316233294635343,2.269451385997292,2.5912821805404933,42845.901510542404,6.63334887098254,112105.57211828878,0.770693953539163,,503.4424584600023
West,2012,34609.1875,-1.2040821697615416,1.35981638863437,2.5912821805404933,46480.65681082214,6.63334887098254,121190.12380026116,0.7329767616537302,,461.5737272775799
West,2013,34285.125,-1.3997809767665557,1.076227809124951,3.1337326793400235,20779.20979165138,7.980507591844736,51364.10050456919,2.3970728249651807,-0.20866700351796702,475.7753409204278
West,2014,33865.875,-1.547810795675151,0.8215159885725621,1.495117147354523,33025.83535445273,3.7114708174506568,90253.51791010358,-1.3347096146645379,-0.4290071170735086,498.12171719616947
West,2015,33334.0625,-1.768432601063371,0.5820637405984458,2.2184313605747144,34585.10217866148,5.541788058682216,94464.25693794878,-2.456581514714103,-0.682460770573992,355.83326392739656
West,2016,32830.875,-1.9607148142775872,0.21794852919711072,1.2903813854563815,37341.46257608122,3.220531682020176,101258.42409650491,-1.906166867088456,0.8182406696897745,282.29576606071794
West,2017,32262.875,-2.0558323144184745,0.008522744626299664,7.979164447794857,19250.142161892305,20.474965113988517,48870.85154715909,-0.04075312575843651,1.180094123666074,560.0372319270019
West,2018,31513.0625,-0.6033020784865137,-0.35406028449660326,7.569873847740444,23443.471661986096,19.36951470464066,59301.637133955046,-0.4106836470679469,0.3177902954659091,462.14643454569955
West,2019,30873.25,-0.2655644704513121,-0.7156708658410642,8.969066268712927,45016.31889735825,23.18148135815418,116906.33649268253,-0.9536361277127918,2.7571203826471407,152.43489929727716
West,2020,30276.75,0.19363593854640831,-1.1526125063237849,3.5633500649140464,414895.13125696575,9.088490433024628,1107798.9237921936,2.373004755322646,1.5562919556550752,129.40599790981253
West,2021,31157.9375,-0.8109592104209924,-1.5875330485652954,4.310282107168574,458729.5465269312,10.953018376192652,1222194.892189866,2.859629553610594,5.870380815711089,83.7510119145722
West,2022,30839.5,,-2.022056378007008,8.944049581698202,471368.98201279494,22.007999684471194,1255911.534355767,1.8937449449344632,7.554549638217183,67.31993446082127
West,2023,30696.8125,,-2.429286855458119,7.093915550922418,130277.62211323598,17.45634273684379,341007.93015205197,0.49498549190587426,0.0,76.32198702422848
West,2024,30515.5,,,6.032959895502111,100618.04306626687,14.86694796179206,264029.4602957727,9.515275521643785,0.0,66.60600975629478
