scenario,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat1,North,321625.7330431657,328198.75240361365,-6573.019360447943,-2.0027557424607596
hurricane_cat2,Metro,817908.1863884755,853573.4886306203,-35665.302242144826,-4.1783516846759525
hurricane_cat2,East,468385.20382445573,493026.12960381317,-24640.925779357436,-4.997894492764194
hurricane_cat2,West,405443.44760325213,423128.3641478759,-17684.91654462379,-4.179562998627817
hurricane_cat2,South,343994.9531478434,360559.50191759854,-16564.548769755114,-4.594123489093553
hurricane_cat2,Central Mountains,328115.3035838773,343158.4535760998,-15043.149992222548,-4.3837328894147545
hurricane_cat2,North,315157.69238512404,328198.75240361365,-13041.060018489603,-3.973525165157213
hurricane_cat3,Metro,793165.7240975248,853573.4886306203,-60407.76453309553,-7.077043199878093
hurricane_cat3,East,451391.187395619,493026.12960381317,-41634.942208194174,-8.444773959881449
hurricane_cat3,West,393174.69188276865,423128.3641478759,-29953.672265107278,-7.079098165737477
hurricane_cat3,South,332537.588102707,360559.50191759854,-28021.913814891537,-7.771786256043699
hurricane_cat3,Central Mountains,317694.51710361656,343158.4535760998,-25463.93647248327,-7.420460200563385
hurricane_cat3,North,306097.257770467,328198.75240361365,-22101.49463314662,-6.734179966036723
hurricane_cat4,Metro,759513.3862207714,853573.4886306203,-94060.10240984894,-11.019566992497467
hurricane_cat4,East,428425.69976682094,493026.12960381317,-64600.42983699223,-13.102840997272084
hurricane_cat4,West,376495.5270489512,423128.3641478759,-46632.837098924734,-11.020966933482951
hurricane_cat4,South,317008.39209353656,360559.50191759854,-43551.109824061976,-12.078758039225116
hurricane_cat4,Central Mountains,303548.6281888668,343158.4535760998,-39609.82538723305,-11.5427217294092
hurricane_cat4,North,293766.65879252076,328198.75240361365,-34432.09361109289,-10.491232327644209
hurricane_cat5_maria_like,Metro,717908.0518855776,853573.4886306203,-135665.43674504268,-15.893820339088721
hurricane_cat5_maria_like,East,400271.8630958761,493026.12960381317,-92754.26650793705,-18.813255715771636
hurricane_cat5_maria_like,West,355881.4998657403,423128.3641478759,-67246.86428213562,-15.892781004545
hurricane_cat5_maria_like,South,297894.0748131763,360559.50191759854,-62665.42710442224,-17.38005149528514
hurricane_cat5_maria_like,Central Mountains,286100.67717951245,343158.4535760998,-57057.776396587375,-16.627239050060027
hurricane_cat5_maria_like,North,278499.5026192581,328198.75240361365,-49699.24978435552,-15.143034341348185
