region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Metro,2030,879689.2546346192,886195.1084844172,893054.9881388863,900918.1081689639,911141.0523438442,918959.6220314662,924968.5396721958,earthquake_m6_8,912886.8281887735,-11968.720019809552,-1.3110847533594352
North,2030,343334.6634265213,344395.9873977194,346713.7912651037,348479.36324835854,350726.7937317281,352446.3216363358,353859.5667514698,earthquake_m6_8,352370.9488644615,-3891.585616102966,-1.1044002431652937
South,2030,367038.22896727116,368523.0851865703,370588.73645739054,373223.0802814757,376349.1454143576,378944.29153067095,380465.6687225437,earthquake_m6_8,380408.9096786669,-7185.829397191235,-1.888975051415367
West,2030,443349.74549715297,444756.0237532499,446274.916757556,448992.03836020373,451335.16649839806,453593.84666245175,454976.30173570605,earthquake_m6_8,455203.26449139847,-6211.226131194737,-1.3644950763115857
Central Mountains,2030,356828.62331733864,357952.661852282,359840.41407026176,361653.5914111086,363548.5750381722,364977.183091621,366562.38135389186,earthquake_m7_2,367970.5178183665,-6316.92640725791,-1.7166936211927717
East,2030,492311.8785940612,493987.77342257224,496447.0627959059,499083.1313561293,501406.7689011765,503695.9812325241,505653.88307711016,earthquake_m7_2,508403.1491761129,-9320.017819983594,-1.8331943527665093
Metro,2030,876198.7077151305,882566.3323379621,889175.6629383202,897413.4675078285,907506.8827818324,915350.0175048902,921031.757405082,earthquake_m7_2,912886.8281887735,-15473.360680944985,-1.694992216247126
North,2030,342107.2158623316,343186.9803128333,345570.03824637644,347302.2523598922,349470.7480818251,351328.10841560276,352688.7310734409,earthquake_m7_2,352370.9488644615,-5068.696504569321,-1.4384547082849843
South,2030,364969.192986983,366444.0946421781,368528.5417603885,371167.7180955688,374365.59816898964,376974.2026262575,378329.28956268204,earthquake_m7_2,380408.9096786669,-9241.191583098087,-2.4292784285478914
West,2030,441492.7760634168,442791.2554065163,444357.24608221644,446982.6959189846,449352.90258178004,451855.3073279326,452856.1967250825,earthquake_m7_2,455203.26449139847,-8220.568572413875,-1.805911603379815
Central Mountains,2030,356828.62331733864,357952.661852282,359840.41407026176,361653.5914111086,363548.5750381722,364977.18309162103,366562.38135389186,earthquake_m7_5,367970.5178183665,-6316.92640725791,-1.7166936211927717
East,2030,492311.8785940612,493987.77342257224,496447.0627959059,499083.1313561293,501406.7689011765,503695.9812325241,505653.88307711016,earthquake_m7_5,508403.1491761129,-9320.017819983594,-1.8331943527665093
Metro,2030,876198.7077151305,882566.3323379621,889175.6629383202,897413.4675078285,907506.8827818324,915350.0175048902,921031.757405082,earthquake_m7_5,912886.8281887735,-15473.360680944985,-1.694992216247126
North,2030,342107.2158623316,343186.9803128333,345570.03824637644,347302.2523598922,349470.7480818251,351328.10841560276,352688.7310734409,earthquake_m7_5,352370.9488644615,-5068.696504569321,-1.4384547082849843
South,2030,364969.192986983,366444.0946421781,368528.5417603885,371167.7180955688,374365.59816898964,376974.2026262575,378329.28956268204,earthquake_m7_5,380408.9096786669,-9241.191583098087,-2.4292784285478914
West,2030,441492.7760634168,442791.25540651625,444357.24608221644,446982.6959189846,449352.9025817801,451855.3073279326,452856.1967250825,earthquake_m7_5,455203.26449139847,-8220.568572413875,-1.805911603379815
