municipio,region,year,total_population,policy_package,predicted_target,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Sabana Grande,West,2024,22407.0,retention_bundle,-0.8828093085145832,-1.3041434464661499,0.4213341379515667,94.40834029080754
Salinas,South,2024,25079.0,retention_bundle,-1.394447557766875,-1.815781695718441,0.42133413795156605,105.66638845687326
San German,West,2024,31305.0,retention_bundle,-0.9750482451215745,-1.3963823830731406,0.42133413795156605,131.89865188573776
San Juan,Metro,2024,336160.0,retention_bundle,-1.0675164868940168,-1.4888506248455833,0.4213341379515665,1416.356838137986
San Lorenzo,East,2024,37431.0,retention_bundle,-0.6171219556585317,-1.0384560936100977,0.42133413795156605,157.70958117665072
San Sebastian,West,2024,39088.0,retention_bundle,-0.6023132146109986,-1.0236473525625656,0.42133413795156693,164.6910878425085
Santa Isabel,South,2024,19903.0,retention_bundle,-1.0493894855189354,-1.470723623470502,0.4213341379515665,83.85813347650029
Toa Alta,Metro,2024,66320.0,retention_bundle,-0.6774294421130234,-1.09876358006459,0.4213341379515667,279.42880028947906
Toa Baja,Metro,2024,73039.0,retention_bundle,-1.4647422848886436,-1.8860764228402098,0.42133413795156627,307.73824101844446
Trujillo Alto,Metro,2024,67088.0,retention_bundle,-0.7254165820854388,-1.1467507200370048,0.42133413795156605,282.66464646894667
Utuado,Central Mountains,2024,27621.0,retention_bundle,-1.253549763062834,-1.6748839010144003,0.42133413795156627,116.37670224360211
Vega Alta,North,2024,34921.0,retention_bundle,-0.8618755540656418,-1.2832096920172082,0.4213341379515665,147.13409431406654
Vega Baja,North,2024,53892.0,retention_bundle,-0.720751369086553,-1.1420855070381195,0.4213341379515665,227.06539362485822
Vieques,East,2024,8078.0,retention_bundle,-1.0384917571631334,-1.4598258951146998,0.4213341379515665,34.035371663727545
Villalba,South,2024,21556.0,retention_bundle,-1.294978997670025,-1.7163131356215915,0.4213341379515665,90.82278677683968
Yabucoa,East,2024,29400.0,retention_bundle,-1.6749125387092545,-2.096246676660821,0.4213341379515665,123.87223655776056
Yauco,South,2024,32993.0,retention_bundle,-1.677294317064963,-2.09862845501653,0.42133413795156693,139.01077213436048
