year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe
2012,Isabela Municipio,72071,45567.0,0.0,36176.0,132.0,18766.0,225.0,15.8,2.6,36.6,1.8,14570.0,20433.63,847.0,229.59,30492.0,30.0,8421.0,662.8815882191932,14439.0,4061.0,121.0,72.0,421.0,,
2012,Jayuya Municipio,72073,16600.0,0.0,12583.0,81.0,5802.0,141.0,25.0,3.8,48.6,3.0,17137.0,24033.71,1966.0,229.59,10190.0,31.2,3372.0,393.19333666785354,4969.0,1233.0,87.0,71.0,103.0,,
2012,Juana Díaz Municipio,72075,50695.0,0.0,38852.0,135.0,18242.0,218.0,18.6,2.5,43.5,1.6,16938.0,23754.62,1020.0,229.59,31643.0,30.3,8881.0,540.1203569575952,14758.0,4260.0,139.0,110.0,257.0,,
2012,Juncos Municipio,72077,40292.0,0.0,30846.0,180.0,14903.0,231.0,18.4,3.0,46.9,2.1,18946.0,26570.73,1378.0,229.59,25796.0,30.9,7188.0,665.0270671183241,11959.0,4163.0,94.0,61.0,244.0,,
2012,Lajas Municipio,72079,25671.0,0.0,20585.0,105.0,11719.0,144.0,12.4,3.4,28.1,2.4,13698.0,19210.7,1101.0,229.59,17332.0,29.6,4627.0,500.9121679496317,8176.0,1776.0,64.0,51.0,170.0,,
2012,Lares Municipio,72081,30628.0,0.0,24204.0,95.0,11944.0,174.0,25.5,3.3,38.0,1.8,12094.0,16961.18,1077.0,229.59,20162.0,24.9,4816.0,408.3833982913605,9700.0,2583.0,84.0,61.0,181.0,,
2012,Las Marías Municipio,72083,9853.0,0.0,7736.0,55.0,3929.0,97.0,6.0,2.5,40.1,3.0,14460.0,20279.36,1727.0,229.59,6370.0,27.8,1688.0,220.29298672449835,3112.0,684.0,22.0,35.0,52.0,,
2012,Las Piedras Municipio,72085,38687.0,0.0,30316.0,129.0,14065.0,242.0,18.5,2.9,45.2,2.3,19345.0,27130.31,1368.0,229.59,25264.0,32.1,7975.0,560.9001693706288,11881.0,3328.0,105.0,72.0,260.0,,
2012,Loíza Municipio,72087,29997.0,0.0,22944.0,130.0,11351.0,193.0,24.5,2.8,52.6,1.7,19100.0,26786.71,1529.0,229.59,18381.0,36.0,6395.0,438.3263624287273,8332.0,2058.0,81.0,54.0,78.0,,
2012,Luquillo Municipio,72089,20050.0,0.0,15664.0,89.0,10197.0,138.0,23.5,3.6,51.3,1.9,20084.0,28166.72,2193.0,229.59,13063.0,36.5,4122.0,393.8591118661596,6060.0,1757.0,117.0,72.0,141.0,,
